,text,Cluster (automatic from the ML),Argument (Gold standard),Right clusterd ? 
38, reason is that young children at the age  can not understand the main statement from the television because there brain can not translate or understand the film which is shown as a ,0,0 -> small children can be manipulated easily,R
3," wouldnâ´t know the value of these things
my opinion to this topic is that televsion  advertising directed  should be stopped furthermore the parents have to have an eye on their children if they watch tv watching tv in these ages can ",1,"1 -> ads toward young children should be stopped, Influence of ads on small children, bad effect of ads on children",R
6," and even small children watch television so it may occure the question whether tv advertising  aged  shoud or should not be allowed 

first you should allow this kind of avertising because it helps the parents to buy things which fit with the specific wishes of their children so the little child can watch tv and ",1,,F
14,"television advertising  should not be allowed thats the way many people think about the influnce of media like televison on young childreni dont think it should be not allowed but i am not the opinion that its positive for them

 every parent should decide if he lets his child watching things  which can be dangerous for the development of his own child not everybody sees that as negativ because a lot of people doesnt believe that children ",1,,R
16, the growing process can have an influence on the futured personality of the kidsfor me its the biggest problem in todays community and forbiding of television andvertising directed to to the young children wouldnt be a ,1,,R
27,"young children should play outside more often that is sentence every child has heard a lot of times in her or his young years but why should they play outside

now a days a television and the outraging development of the technology is very normal to the young generation and there parent generation the only generation is the elders generation whom are not used to technology at all there are a few ones that do not have a probleme with the change but the most do so the snetence above is mostly to hear form the older generation  
the children should be allowed to watch television and use all the technology the presnt has to offer because we are living in a constant development of technology and in the future there will be more of that some say that it is all going to be compromized and going to be technical 
the only thing parents could do is to set a limit of tv watching for there children ",1,,R
28, they can be social and hang out with there friends actually that is a thing that every child is going to do in that young age they are going to the kindergarden or to a kita and will only be watching tv in the mo0ments ,1,,F
30," they shopuld have a time where they are allowed to watch there series or there favorite movie that is what makes the children happy now a days 
furthermore more many child series and movies on tv teach many life lessons ",1,,F
31," that the children will be prepared for life and their social life for example dora or other series there are some episodes where they solve math problemes teach you how to deal with strangers or hoe to treat your friends 
fact is that the series that they watch on tv prepare for school
the only thing that could be held against that statement is that there are ",1,,F
32, horror movies and other bad stuff that children at that age should not watch for that parents can just install a code for those channels ,1,,R
33, the children will not have a chance to watch these also to hold against the ,1,,R
34, that children that watch tv are not interfering with there family anymore the parents could watch the sereies with them and make a game out of it ,1,,F
35," they will make tv watching a family activity

in the end i can only say that television is a big part of our lifes now a days and that children in the age 25 must be allowed to interfier with that in the future there will be more and more technology and we can not forbidm the children to not live that life",1,,F
40, reason is that this kids should not grow up with a television because if they look tv at the begin of their lives they could focus their future to look fluently and hours ,1,,R
42, is that the television is a media which is lying fluently to have better quotes of the public to become famous and rich the children would grow up with wrong information ,1,,R
44, on their there future lives could be mainly destroyed or would stay on the lies of the television my last reason is that children at the age of  are defintiv to young to look tv because of the risks and the ,1,,R
50," if the parents take care of them and pay attention the children will not get any problems but they will have fun with their new toy or other things 
but children believe the promises of the advertising industry and if the parents buy the toy for them they will be really unhappy for example if a child sees a plastic horse on tv running around and jumping it would think that this horse is really able to do that but it is not furthermore there would be some children who want to get everything they see on tv and for poor parents it would be really difficult to explain why their friends already own these things which seem to be important
but for the industry it is easier to persuade children than adults who reflect their actingthey would not profit of this ban ",1,,R
51, watching tv for young children is dangerous and unhealthy ,1,,R
62,television  young people should  be allowed but the children should watch tv not ,1,,F
