,text,cluster
0,"should it not be allowed to produce television advertising  at the age between two and five
on this question is based the following text which shows ",8
1,"  including my personal opinion

first the main time a person is watching tv is during the evening
some people ",17
2," they want to have a short sleep
at this times a child aged  even sleeps too or it is playing with friends ",19
3," that the child can not see advertsisings
however the television can be nessecary because some kids have an evening routine in which they watch one serie of their favourite movie 
and afterwards they go better to sleep 
but during such a movie there is not more than one time advertising 
the most children are not interested in this advertsing and do not watch them ",5
4, that it is unnessecary to produce television advertising directed  ,8
5," they do not see them
the most important ",14
6, is that children aged  will never understand television advertising ,12
7," you show toys or pets because they do not know the reason of advertising

at my own opinion ",11
8," say that television advertising for young children can be allowed but it is not nessecary because they do not watch much films 
besides they do not care about the advertising and would not understand the background reasons for it  

",8
9,"in the following text ill discuss the statement about the programm of television which is directed to very young children by the age of 

for me itâ´s an important theme to talk about because the medias in our time can be very dangerous for the developement of children and ",17
10," teenagers but in this moment the age of the young chldren is important for the statement
",19
11, television is something which is fun and free time for you but it ,17
12," can change your opinion about some topics and meanings which you have
young children are very influenced by everythingwhich they see and hear ",4
13, the television can be dangerous or bad for them but it can be allowed to cut them from the medias but itâ´s not the right way ,17
14,"
itâ´s better to show them how to handle with television or games or something like that because the children are learning for their lifes and not just for the moment

in the statement itâ´s described that very young children from the age  should not watch television and ",17
15," it has something true because in the age of two or three years you should not watching televeison
a little kid should play with its toys and parents and not watch televison the whole day because it can be a negative ",17
16, you canâ´t say no with a law ,6
17," itâ´s difficult to handle with this topic

a ",6
18," can be that the parents of the children have to handle right with this topic because itâ´s important for their children and their developement
older children like with the age of five or six or elder it is ",19
19, right and possible to watch television with a time which is given by the parents ,15
20, that the cildren can watch a serie for one hour and ,15
21," itâ´s finished for this day

so ",3
22," at some parts with the statement but not at all
the main thing that is important is the bad influence by television for too young children ",17
23, it could exists problems in future which are developed by the television,17
24," for the question if the advertising  shoul not be allowed you can think on some opinions for and against it
 the television advertising is sometimes very funny and beautiful for the kids so they can lough and be happy they show some carracters that show the kids how they can do something and the children are learning something but ",5
25, there are some advertising that arenâ´t very helpful to show children how they can do something or they can behave sometimes the children learn something they shouldnâ´t learn a situation ,11
26, a child is sad because another child took his car for playing away ,1
27, the kid is really sad and donâ´t know what he could do he saw an advertising where this happend and the ,11
28," was that the child hurt the other one and that is not ok in reallife the kid who is sad because he want his car back knows that he can hurt the other one to get his car so itâ´s not ok to show them this kind of stories because they learn from it 
they should show how to play a game or to take part in other plays where he can play with other children
also ",1
29, that children who are at the age of  shouldnâ´t be allowed to watch tv because itâ´s not good for their eyes itâ´s better for them to play in the kindergarten or to play with their mum there are some little things that could make them happy for axample spending time with their mum ,17
30," they can build a better feeling for each other because they get to know each other better
how i said in the begining there are some funny and beautiful advertising which make the children smile and be happy but ",11
31," that they can do other things for being happy 
so all in one ",14
32," that the television advertising should be allowed but those who make the children learn something they shouldnâ´t learn shouldnâ´t be allowed so the advertising should be controlled by some people that know what is right for children aged  
 ",8
33,the following text is about the named statement television is today more impportant than in the past in the past the children go outside an play with other children so its different than today most of children watch television ,8
34, they are at their own i ,13
35, with this statement because young children aged of  should be learn to play with other children at their age when they look tv the children are independent of this media ,17
36, they cant live without watching tv so the children should be play with their parents or with other children because they arent be alone and ,17
37, they meet new people the reason is that they are in contact with others and thats better for their future it ist ,9
38, important because later they can meet new friends easier than without playing with others the children without playimg with other children dont know the contact with others so the relationship to other children is better ,9
39," the children play with other children 
an arguement could be that the television shows pograms which arent good for young children also the pograms are for older children aged seven many pograms arent real but the children watch them and think they want do the same so the television isnt real many pograms could be dangerous for young children ",17
40," they dreams bad and thats not good for their little life 
much peeple say that television is good for their future and its is the real life b ut it isnt it the shows are played of actors who leatn their text and ",17
41," play it for the camera and the pproducer so it isnt the real life 
the children can learn of watching tv that isnt right because the children learn more in playing with toys beside they learn the rules of their parents and they know in which their are allowed to something and what it isnt allowed to do 
so the children shouldnt watch television because they are things which are better than that also the independence of watching television is tall ",17
42," they are older they want watching tv all the time then they dont meet friends or do a hobby
the age of  is ",9
43, time of the life of a children because they learn ,4
44, much about the life and deleope in a fast time the developement of a child in this age is ,4
45, for and against the prohibition of television advertising  younger children which ,8
46," text 

first of all it is wellknown that little children are heavily influenced by their surroundings ",4
47, that they can get manipulated easily ,14
48, this can be used effectively by television advertisements which portray them a false picture of reality causing children to ask their parents for things they dont actually need this is often the case with toys that are shown to be really fun in advertisements ,11
49," in reality they often are quite lame
additionally children cant even realize ",19
50, they are getting baited by a company ,16
51," that it is up to the parents to explain why a particular product is not as good as portraied in the tv which most of the time cant be understood by children which might lead to some sort of unhappiness

nevertheless one can argue if this is reason enough to prohibit advertisements  ",8
52, it would be pretty hard to establish nowadays it is common that even little children spend some time in front of the tv and ,17
53, there has to be some sort of advertising between two shows that are made for children it wouldnt be too clever to put something in there that isnt  children ,11
54,"
furthermore there are some advertisements that might have a positive ",16
55, if an ad promotes physical activity like going outside and playing with friends ,16
56," this is quite rarely the case

eventually ",6
57," that it really depends on what sort of advertisement it is and what product is getting advertised as for the previous example with toys if a false picture of the toy is portraied to bait consumers into buying that is obviously not the right way to do it
however an absolute prohibition is ",16
58, nearly impossible to to happen because tv companies have to earn their money and companies that produce shows for children are no exception but as just mentioned its the quality of the advertisement that really matters ,12
59, wanting to prohibit them all one should ,10
60," ask for more appropriate ads that dont damage young children in any way
",2
61,"the following essay deals with the question wether telivision advertising  aged  should be allowed 
for children the ages  are ",8
62," year of development they learn speaking and walking and a lot of other important things

the young children should play outside or do other stuff than sitting in fornt of a television and watch some strange series later in life theyll watch a lot of tv and in childhood they shouldnt spend their time with this
if they watch series ",4
63, the krã¼melmoster they may have the same ideas as the actors and do things they arent allowed or get hurt ,3
64," doing this
the development in this young age is very importent one cant really tell them what to do ore not they will experience this themselves but without watching tv they will meet some friends and are outside in the natur they create other ideas without the influence of television they get social contacts which they cant make if they only spend their time infront of the tv
for example i got to know my best friend with the age of 1 because our mothers are friends and we only spend out time outside and played with the dogs or by bad weather we built thing and played memories we werent allowed to watch television and later the only thing we watched was the sandman this only goes ten minutes and was nearly ",17
65," our bedtime
the age of  is the time for children in the kindergarden and there they learn how to behave with other kids ",4
66," its important not to destroy this at home
in my oppinion television advertising shouldnt be allowed",10
67,"television advertising  should not be allowed 
with this statement the following text is occupied iâ´m going to compare ",8
