,text,cluster
0,"""Should it not be allowed to produce television advertising directed toward young children at the age between two and five?"".",5
1,"On this question is based the following text, which shows advantages and disadvantages  including my personal opinion.",10
2,"First, the main time a person is watching TV is during the evening.",7
3,Some people also watch a movie after lunch while they want to have a short sleep.,7
4,"At this times a child aged two to five even sleeps too or it is playing with friends, so that the child can not see advertsisings.",1
5,"However the television can be nessecary, because some kids have an evening routine in which they watch one serie of their favourite movie 
and afterwards they go better to sleep.",7
6,But during such a movie there is not more than one time advertising.,8
7,"The most children are not interested in this advertsing and do not watch them, so that it is unnessecary to produce television advertising directed to young children, then they do not see them.",3
8,"The most important argument is, that children aged two to five will never understand television advertising even if you show toys or pets, because they do not know the reason of advertising.",3
9,"At my own opinion I will say, that television advertising for young children can be allowed, but it is not nessecary, because they do not watch much films .",11
10,Besides they do not care about the advertising and would not understand the background reasons for it.,8
11,"In the following text, I`ll discuss the statement about the programm of television, which is directed to very young children by the age of two to five.",7
12,"For me itÂ´s an important theme to talk about, because the medias in our time can be very dangerous for the developement of children and also teenagers, but in this moment the age of the young chldren is important for the statement.",5
13,"I think, television is something, which is fun and free time for you, but it also can change your opinion about some topics and meanings, which you have.",7
14,"Young children are very influenced by everything,which they see and hear, so the television can be dangerous or bad for them, but it can be allowed to cut them from the medias, but itÂ´s not the right way, I think.",2
15,"ItÂ´s better to show them, how to handle with television or games or something like that, because the children are learning for their lifes and not just for the moment.",15
16,"In the statement, itÂ´s described that very young children, from the age from two to five, should not watch television and for me it has something true, because in the age of two or three years, you should not watching televeison.",2
17,"A little kid should play with its toys and parents and not watch televison the whole day, because it can be a negative point in its developement.",2
18,"But I think, you canÂ´t say no with a law, so itÂ´s difficult to handle with this topic.",10
19,"A solution can be, that the parents of the children have to handle right with this topic, because itÂ´s important for their children and their developement.",16
20,"Older children, like with the age of five or six or elder, it is of course right and possible to watch television with a time, which is given by the parents, so that the cildren can watch a serie for one hour and then itÂ´s finished for this day.",2
21,"So all in all, I agree at some parts with the statement, but not at all.",10
22,"The main thing, that is important is the bad influence by television for too young children, so it could exists problems in future, which are developed by the television.",7
23," For the question, if the advertising directed toward young children shoul not be allowed, you can think on some opinions for and against it.",1
24,The television advertising is sometimes very funny and beautiful for the kids.,3
25,So they can lough and be happy.,13
26,"They show some carracters that show the kids how they can do something, and the children are learning something.",15
27,But also there are some advertising that arenÂ´t very helpful to show children how they can do something or they can behave.,3
28,"Sometimes the children learn something, they shouldnÂ´t learn.",17
29,"A situation for example for this is when a child is sad because another child took his car for playing away, so the kid is really sad and donÂ´t know what he could do.",17
30,"He saw an advertising where this happend and the solution was that the child hurt the other one, and that is not ok.",17
31,"In reallife the kid who is sad, because he want his car back, knows that he can hurt the other one to get his car.",17
32,So itÂ´s not ok to show them this kind of stories because they learn from it...,17
33,They should show how to play a game or to take part in other plays where he can play with other children.,15
34,Also I think that children who are at the age of two to five shouldnÂ´t be allowed to watch tv because itÂ´s not good for their eyes.,2
35,ItÂ´s better for them to play in the kindergarten or to play with their mum.,13
36,"There are some little things that could make them happy... for axample spending time with their mum, so they can build a better feeling for each other, because they get to know each other better.",13
37,"How I said in the begining there are some funny and beautiful advertising which make the children smile and be happy, but I think that they can do other things for being happy.",3
38,"So all in one I think that the Television advertising should be allowed, but those who make the children learn something they shouldnÂ´t learn shouldnÂ´t be allowed.",11
39,So the advertising should be controlled by some people that know what is right for children aged two to five.,3
40,The following text is about the named statement.,18
41,Television is today more impportant than in the past.,7
42,In the past the children go outside an play with other children.,13
43,So its different than today.,19
44,Most of children watch television so they are at their own.,7
45,I disagree with this statement because young children aged of two to five should be learn to play with other children at their age.,13
46,When they look tv the children are independent of this media so they can't live without watching tv.,7
47,So the children should be play with their parents or with other children because they aren't be alone and also they meet new people.,13
48,The reason is that they are in contact with others and that's better for their future.,13
49,It ist so important because later they can meet new friends easier than without playing with others.,13
50,The children without playimg with other children don't know the contact with others.,13
51,So the relationship to other children is better when the children play with other children.,13
52,An arguement could be that the television shows pograms which aren't good for young children.,7
53,Also the pograms are for older children (aged seven).,19
54,Many pograms aren't real but the children watch them and think they want do the same.,17
55,So the television isn't real.,14
56,Many pograms could be dangerous for young children so they dreams bad and that's not good for their little life.,6
57,Much peeple say that television is good for their future and it's is the real life b ut it isn't it.,7
58,The shows are played of actors who leatn their text and then play it for the camera and the pproducer.,14
59,So it isn't the real life.,18
60,"""The children can learn of watching tv"" That isn't right because the children learn more in playing with toys.",7
61,Beside they learn the rules of their parents and they know in which their are allowed to something and what it isn't allowed to do.,16
62,So the children should'nt watch television because they are things which are better than that.,7
63,Also the independence of watching television is tall so later when they are older they want watching tv all the time.,7
64,Then they don't meet friends or do a hobby.,13
65,The age of two to five is the most important time of the life of a children because they learn so much about the life and deleope in a fast time.,15
66,The developement of a child in this age is,15
67,"There are arguments for and against the prohibition of television advertising directed toward younger children, which I will summarize and analyze in the following text .",5
68,"First of all it is well-known that little children are heavily influenced by their surroundings, so that they can get manipulated easily as well.",17
69,"This can be used effectively by television advertisements, which portray them a false picture of reality, causing children to ask their parents for things they don't actually need.",12
70,"This is often the case with toys, that are shown to be really fun in advertisements, while in reality they often are quite lame.",12
71,"Additionally children can't even realize, when they are getting baited by a company, so that it is up to the parents to explain why a particular product is not as good as portraied in the TV, which most of the time can't be understood by children, which might lead to some sort of unhappiness.",3
72,"Nevertheless one can argue if this is reason enough to prohibit advertisements directed toward young children, since it would be pretty hard to establish.",1
73,"Nowadays it is common, that even little children spend some time in front of the TV and since there has to be some sort of advertising between two shows that are made for children, it wouldn't be too clever to put something in there, that isn't directed toward children as well.",11
74,"Furthermore there are some advertisements that might have a positive consequence on children, for example if an ad promotes physical activity, like going outside and playing with friends, although this is quite rarely the case.",3
75,Eventually I think that it really depends on what sort of advertisement it is and what product is getting advertised.,8
76,"As for the previous example with toys: if a false picture of the toy is portraied, to bait consumers into buying, that is obviously not the right way to do it.",12
77,"However an absolute prohibition is, in my opinion, nearly impossible to to happen, because TV companies have to earn their money and companies that produce shows for children are no exception.",2
78,"But as just mentioned, it's the quality of the advertisement that really matters, thus instead of wanting to prohibit them all, one should rather ask for more appropriate ads, that don't damage young children in any way.",1
79,The following essay deals with the question wether telivision advertising directed toward young children aged two to five should be allowed.,5
80,For children the ages two to five are the most important year of development.,15
81,They learn speaking and walking and a lot of other important things.,15
82,The young children should play outside or do other stuff than sitting in fornt of a television and watch some strange series.,2
83,Later in life they'll watch a lot of tv and in childhood they shouldn't spend their time with this.,2
84,"If they watch series for example the ""KrÃ¼melmoster"" they may have the same ideas as the actors and do things they aren't allowed or get hurt while doing this.",14
85,The development in this young age is very importent.,15
86,"One can't really tell them what to do ore not, they will experience this themselves.",6
87,But without watching TV they will meet some friends and are outside in the natur.,7
88,They create other ideas without the influence of television.,14
89,They get social contacts which they can't make if they only spend their time infront of the TV.,14
90,For example I got to know my best friend with the age of 1 because our mothers are friends and we only spend out time outside and played with the dogs or by bad weather we built thing and played memories.,13
91,We weren't allowed to watch television and later the only thing we watched was the sandman.,7
92,This only goes ten minutes and was nearly before our bedtime.,4
93,"The age of two to five is the time for children in the kindergarden and there they learn how to behave with other kids, so it's important not to destroy this at home.",13
94,In my oppinion television advertising shouldn't be allowed.,11
95,Television advertising directed toward young children should not be allowed.,11
96,With this statement the following text is occupied.,18
97,IÂ´m going to compare advantages and disadvantages.,19
98,"An arguement, why children should not be allowed to use Television with the age of two to five is, that they are to young to understand a lot of things, which are told there.",7
99,"Parents should make sure that their children grows up with things, which are important fot theier future.",16
100,"For example, children with the age of two to five should reed some books or play games like football.",13
101,"Also they could draw some pictures or learn, how to spell theier names.",13
102,"If children with young age only watch TV, they will do this also with older age.",7
103,"An advantage is, that a children with young age often has to be alone, because the parents have to work the whole day or must have to do something, where a little children is not usefull.",16
104,"Than they could watch TV, with the result that their fixed on the Television.",7
105,"Also if a children watch important politically soaps earlier, it grows up with a better knowledge of the important things of life.",7
106,But it does not make sense that a young aged children is able to get important information.,17
107,"A young children with the age of two to five has to learn the calours or how to differences animals with other animals, for example.",15
108,"It is better to show them books with a lot of picures than to let them whatch TV .Young children should also play outside with friends, because they have to learn the difference of the real world and the world that is showed by the medias.",2
109,"As a result I agree with the statement, because there are a lot of disadvantages and only a few advantages.",10
110,"I think there are a lot of more things, children with young age could do much better than watch Television.",2
111,"In my opinion, children, who look at pictures or learn the colours with young age have a lot of knwoledge more than children watching TV.",7
112,Television advertising is often directed to certain groups of people.,8
113,One of them are children who are between two and five years old.,13
114,There are some people who say that this kind of advertising should not be allowed.,1
115,In the following I will present my opinion on this topic.,10
116,In my opionion there are two sides to this statement.,10
117,I can agree with the people who are saying that this kind of advertising should be forbidden.,1
118,Children who are that young don't know how to compromise it.,17
119,"The ads are making everything more colorful and brighter, and they do not necessarily show reality.",8
120,The children really want to have the product and might annoy their parents until they buy it.,9
121,It's also not fair of the marketing people.,8
122,"They use young children, who might never had contact to any kind of media before, just to make money.",14
123,"They know exactly what the children want and they use this knowledge, just to make themselves richer.",16
124,"But on the other hand, there are some reasons why I disagree with this statement.",10
125,"Even if the child really wants the product that was advertised on TV, the decisions if it's bought or not will be made by the parents.",3
126,The child can't just buy things on its own.,9
127,"The role of the parents is another reason, why I think commercials should be allowed: the parents can decide when and how often children watch TV.",11
128,And it is their decision if they want a two- year old boy or girl to watch TV.,2
129,The other reason why it should be allowed is one simple thing: you can't hide advertising.,1
130,"Sooner or later the kids will be confronted with ads, and it could be good to let them know early enough that it is out there.",3
131,When they become older they will know better how to handle advertisment.,3
132,"Children will know, that they can't have everything they want and that not everything is like it is in TV.",15
