,text,cluster
0,Most of them are for advertising clothes or parfumes for adults but some exist which concern small children between kindergarden and preschool.,0
1,All in all I can say that television advertising toward young children should not be allowed because they are too young to understand that they want to sell products.,1
2,All in all you can say that television advertising directed toward young children should not be allowed because it influences them too much and makes them believe in things that do not exist.,1
3,In my opinion television advertising directed toward young children should not be allowed because of several reasons.,1
4,"The statement "" television advertising directed toward young children should not be allowed"" is not easily to answer.",1
5,In my opinion television advertising toward young children should not be allowed because the children can be manipulated so that the children want something that isn't necessary.,1
6,"In my opinion television advertising shouldn't be allowed for young children, as they are manipulative and create a world which does not exist.",1
7,"To sum up, in my opinion television advertising directed toward young children shoud not be allowed as it is manipulating, influences their development and harms the environment.",1
8,"All in all, television advertising directed toward young children should not be allowed in my opinion.",1
9,So in my opinion television advertising directed toward young children should not be allowed since all the arguments which say that it should not be permmitted can be easily,1
10,In my humble opininon television advertising directed toward young children should not be allowed.,1
11,They often like advertisements to discover new toys and there are as well advertisements which support the education of the children.,2
12,The purpose of these adverts is to awaken the interest in these children for asking their mommy or daddy to buy them these toys.,2
13,"Often the advertisment shows new toys, the children want immediately because they are so easy to influence and sometimes don't even know what the advertisments are.",2
14,"Additionally, the child possibly enjoys those advertisings since watching those funny advertisings becomes more exciting than actually playing with the toys.",2
15,"Whether it is the newest Nerf dart gun or a Hot Wheels toy car track, the same children's adverts are broadcast time and time again on various channels in an attempt to persuade children to persuade their parents to buy a certain product.",2
16,"Even if the ad just introduces new toys or games, children will get attracted to it and will certainly want to buy them due to the lack of rational decision skills.",2
17,"Firstly, many advertising spots are about pruducts which adults or teenager would buy and not toys or something children would like to see.",2
18,There are many advertising for toys or other things directed toward young children.,2
19,"Plus, the advertisings are also a help for the parents to know what goods are on the market and which toys can actually educate their child.",2
20,"But these advertisings also manipulate the children a bit, because on these advertisings only a few things are shown and they are shown in that way, that the kids think ist the best toy ever, and the toys are often diffrent, than in the advertising.",2
21,I agree with this following statement.,3
22,"in my opinion, I agree with the statement.",3
23,yes I agree with this statement.,3
24,I agree with this statement for the following reasons.,3
25,I agree with the statement.,3
26,I agree with the statement.,3
27,I agree with the statement.,3
28,I agree with the statement for the following reasons.,3
29,"To start off, I disagree with the statement.",3
30,"To summarise, I think don't agree with the statement compleatly.",3
31,"Even if they know what the aim of advertisement is, they are influenced by it and buy often things they saw in television advertising.",4
32,Those advertising can influence their mind and how they will think and act later.,4
33,"On the other side, they maybe learn early that the advertisment is something to look at critcal because there are different strathegies to manipulate the people.",4
34,The Television advertising influence their mind.,4
35,"When they watch too much television, they see definitely advertising, which they shoudn't see.",4
36,They might be influenced by the advertisements in a bad way.,4
37,They don't realize that all those advertisements are made from huge companys which want to earn as much money as possible.,4
38,It's possible that they are even shocked and frightened by the adverts.,4
39,When it comes to advertisements they could also be convinced to want certain things that are shown on TV.,4
40,They don't understand that they got influenced by the advertising and thats the problem.,4
41,Maybe the parents should not let theit children watch television on their own.,5
42,There are many children who spend a lot of time infront of the TV and parents do not really pay attention to what their children are watching.,5
43,Nowadays many parents allow their children to watch TV.,5
44,"On one hand, the parents can decide by themselfes wheter or wheter not they want their kid to sit in front of television.",5
45,In my opinion the parents of a child should really try to cotrole the time their children will sit in front of a TV.,5
46,"Of course the children shouldn't spend too much time in front of a TV, but that's the thing parents should be keeping an eye on normally.",5
47,"First of all, the parents can control the time that their children spend in front of the television.",5
48,I think you have to chose if you want that your children watching television or not.,5
49,If parents allow their kid to watch TV they also have to know what they will see.,5
50,"They often watch television when their parents are somewhere around the house, so it should actually be in the responsibilty of the parents to look after their kids and to controll what they are watching on TV.",5
51,Their minds are not fully developed and are easy to influence.,6
52,They can't realise and canalise what they see.,6
53,On top of that they do not reconize when they are influenced.,6
54,They try to copy things around them and because of that they are greatly manipulated by such messages.,6
55,They are not capable to differentiate the importance of things in life because they do not have the exprience they need.,6
56,They are helpless and can not understand that they are influenced.,6
57,Another point is that they tend to do what they see.,6
58,So they dont think on their own.,6
59,They often don't have their own opinion yet.,6
60,So they get brainwashed in a way.,6
61,But if the parents do not buy the stuff the children can get very angry an ennoying.,7
62,The problem of this is that often young children just want everything and they can't decide what really is worth to buy and then the parents will buy it for their children to not disapoint them.,7
63,"If their child wants something, they will know that and then they can decide, if they want to buy that or not.",7
64,They may want to buy more and more and won't accept if the parents won't buy them the things shown in the advertisements.,7
65,"The parents couldn't and shouldn't buy everything their children wants, but children don't unterstand it, when the parents say no, because they are too young for it.",7
66,"Furthermore, the parents can have a really hard time convincing the young children not to buy something, when they have seen it on television and think it would be cool to have it.",7
67,The parents might can not offer so much money for this stuff but the children are so manipulated so they will get there parents to buy anything they want.,7
68,If childrens see something they want parents often have to give in and go buy it for them.,7
69,But the childrens in thes ages can't buy something on their own so the parents have to accept it.,7
70,"Of course also the parents don`t want to buy all the useless, advertised things.",7
71,The children are open minded and if you show them in their early years a childrenfriendly Sierie they maybe could learn something.,8
72,Furthermore the child can learn about moral and friendship.,8
73,The children have to learn how to feel and how to react to other people feelings.,8
74,Moreover the parents are responsible for teaching some things to their kids.,8
75,They now that the children could influence their parnts quite much.,8
76,The young children have to build their own future and it would be helpfull if they get to know our world in their young ages.,8
77,"The children has to learn things also outside and do something and they have to be activ when they are so young, they don't have to sit at home infront of the television and doing and learning nothing.",8
78,One argument is that the childrens could learn something.,8
79,"This influences how the kids see themselves, how they think their life has to be.",8
80,"The young children should learn things from the parents and they have to go to school, so the chan learn thing that are importent.",8
81,"Children shouldn't watch television anyway, they should go out and play with other childen, so there isn't any problem with advertisings.",9
82,Most of the children aged two to five will watch tv everyday so it does not matter if they are watching advertising made for them or not.,9
83,"Nowadays more kids watch television than ever, therefore it makes sence to direct the advertising towards them.",9
84,In television you see not just movies or series you also see a lot of advertising directed toward young children.,9
85,There shouldn't be advertisment for young children in the television because then kids tend to watch television and that's not good.,9
86,"But children do not only watch the TV shows, but also the advertising inbetween.",9
87,"For one, children of this age are not supposed to be watching much television in the first place so it wouldn't actually be very useful to direct advertisments at them.",9
88,"Children are not watching tv for the sake of advertisment, they are watching it because they love a certain movie or they want to watch their beloved series.",9
89,There are TV channels which are in particular for children and surely they also have advertising.,9
