,text,cluster
0,"should it not be allowed to produce television advertising  at the age between two and five
on this question is based the following text which shows ",7
1,"  including my personal opinion

first the main time a person is watching tv is during the evening
some people ",4
2," they want to have a short sleep
at this times a child aged  even sleeps too or it is playing with friends ",36
3," that the child can not see advertsisings
however the television can be nessecary because some kids have an evening routine in which they watch one serie of their favourite movie 
and afterwards they go better to sleep 
but during such a movie there is not more than one time advertising 
the most children are not interested in this advertsing and do not watch them ",24
4, that it is unnessecary to produce television advertising directed  ,7
5," they do not see them
the most important ",13
6, is that children aged  will never understand television advertising ,24
7," you show toys or pets because they do not know the reason of advertising

at my own opinion ",6
8," say that television advertising for young children can be allowed but it is not nessecary because they do not watch much films 
besides they do not care about the advertising and would not understand the background reasons for it  

",7
9,"in the following text ill discuss the statement about the programm of television which is directed to very young children by the age of 

for me itâ´s an important theme to talk about because the medias in our time can be very dangerous for the developement of children and ",39
10," teenagers but in this moment the age of the young chldren is important for the statement
",42
11, television is something which is fun and free time for you but it ,4
12," can change your opinion about some topics and meanings which you have
young children are very influenced by everythingwhich they see and hear ",37
13, the television can be dangerous or bad for them but it can be allowed to cut them from the medias but itâ´s not the right way ,4
14,"
itâ´s better to show them how to handle with television or games or something like that because the children are learning for their lifes and not just for the moment

in the statement itâ´s described that very young children from the age  should not watch television and ",39
15," it has something true because in the age of two or three years you should not watching televeison
a little kid should play with its toys and parents and not watch televison the whole day because it can be a negative ",39
16, you canâ´t say no with a law ,38
17," itâ´s difficult to handle with this topic

a ",33
18," can be that the parents of the children have to handle right with this topic because itâ´s important for their children and their developement
older children like with the age of five or six or elder it is ",42
19, right and possible to watch television with a time which is given by the parents ,4
20, that the cildren can watch a serie for one hour and ,29
21," itâ´s finished for this day

so ",43
22," at some parts with the statement but not at all
the main thing that is important is the bad influence by television for too young children ",39
23, it could exists problems in future which are developed by the television,4
24," for the question if the advertising  shoul not be allowed you can think on some opinions for and against it
 the television advertising is sometimes very funny and beautiful for the kids so they can lough and be happy they show some carracters that show the kids how they can do something and the children are learning something but ",16
25, there are some advertising that arenâ´t very helpful to show children how they can do something or they can behave sometimes the children learn something they shouldnâ´t learn a situation ,6
26, a child is sad because another child took his car for playing away ,14
27, the kid is really sad and donâ´t know what he could do he saw an advertising where this happend and the ,43
28," was that the child hurt the other one and that is not ok in reallife the kid who is sad because he want his car back knows that he can hurt the other one to get his car so itâ´s not ok to show them this kind of stories because they learn from it 
they should show how to play a game or to take part in other plays where he can play with other children
also ",14
29, that children who are at the age of  shouldnâ´t be allowed to watch tv because itâ´s not good for their eyes itâ´s better for them to play in the kindergarten or to play with their mum there are some little things that could make them happy for axample spending time with their mum ,39
30," they can build a better feeling for each other because they get to know each other better
how i said in the begining there are some funny and beautiful advertising which make the children smile and be happy but ",6
31," that they can do other things for being happy 
so all in one ",13
32," that the television advertising should be allowed but those who make the children learn something they shouldnâ´t learn shouldnâ´t be allowed so the advertising should be controlled by some people that know what is right for children aged  
 ",7
33,the following text is about the named statement television is today more impportant than in the past in the past the children go outside an play with other children so its different than today most of children watch television ,39
34, they are at their own i ,40
35, with this statement because young children aged of  should be learn to play with other children at their age when they look tv the children are independent of this media ,39
36, they cant live without watching tv so the children should be play with their parents or with other children because they arent be alone and ,4
37, they meet new people the reason is that they are in contact with others and thats better for their future it ist ,10
38, important because later they can meet new friends easier than without playing with others the children without playimg with other children dont know the contact with others so the relationship to other children is better ,10
