,text,cluster
0," with the following statement
television advertising  aged two tein essay welches diese schreibaufgabe gut erfã¼llt umfasst mindestens 300 wã¶rter ihr text wird anhand unterschiedlicher qualitã¤ten beurteilt diese beinhalten die darlegung ihrer ideen die organisation des essays sowie die sprachliche qualitã¤t und genauigkeit sie haben dafã¼r 30 minuten zeit versuchen sie die komplette zeit ",0
1," with the following statement
television advertising  aged two tein essay welches diese schreibaufgabe gut erfã¼llt umfasst mindestens 300 wã¶rter ihr text wird anhand unterschiedlicher qualitã¤ten beurteilt diese beinhalten die darlegung ihrer ideen die organisation des essays sowie die sprachliche qualitã¤t und genauigkeit sie haben dafã¼r 30 minuten zeit versuchen sie die komplette zeit ",0
2," with the following statement
television advertising  aged two tein essay welches diese schreibaufgabe gut erfã¼llt umfasst mindestens 300 wã¶rter ihr text wird anhand unterschiedlicher qualitã¤ten beurteilt diese beinhalten die darlegung ihrer ideen die organisation des essays sowie die sprachliche qualitã¤t und genauigkeit sie haben dafã¼r 30 minuten zeit versuchen sie die komplette zeit ",0
3," with the following statement
television advertising  aged two tein essay welches diese schreibaufgabe gut erfã¼llt umfasst mindestens 300 wã¶rter ihr text wird anhand unterschiedlicher qualitã¤ten beurteilt diese beinhalten die darlegung ihrer ideen die organisation des essays sowie die sprachliche qualitã¤t und genauigkeit sie haben dafã¼r 30 minuten zeit versuchen sie die komplette zeit ",0
4," with the following statement
television advertising  aged two tein essay welches diese schreibaufgabe gut erfã¼llt umfasst mindestens 300 wã¶rter ihr text wird anhand unterschiedlicher qualitã¤ten beurteilt diese beinhalten die darlegung ihrer ideen die organisation des essays sowie die sprachliche qualitã¤t und genauigkeit sie haben dafã¼r 30 minuten zeit versuchen sie die komplette zeit ",0
5," with the following statement
television advertising  aged two tein essay welches diese schreibaufgabe gut erfã¼llt umfasst mindestens 300 wã¶rter ihr text wird anhand unterschiedlicher qualitã¤ten beurteilt diese beinhalten die darlegung ihrer ideen die organisation des essays sowie die sprachliche qualitã¤t und genauigkeit sie haben dafã¼r 30 minuten zeit versuchen sie die komplette zeit ",0
6," with the following statement
television advertising  aged two tein essay welches diese schreibaufgabe gut erfã¼llt umfasst mindestens 300 wã¶rter ihr text wird anhand unterschiedlicher qualitã¤ten beurteilt diese beinhalten die darlegung ihrer ideen die organisation des essays sowie die sprachliche qualitã¤t und genauigkeit sie haben dafã¼r 30 minuten zeit versuchen sie die komplette zeit ",0
7," with the following statement
television advertising  aged two tein essay welches diese schreibaufgabe gut erfã¼llt umfasst mindestens 300 wã¶rter ihr text wird anhand unterschiedlicher qualitã¤ten beurteilt diese beinhalten die darlegung ihrer ideen die organisation des essays sowie die sprachliche qualitã¤t und genauigkeit sie haben dafã¼r 30 minuten zeit versuchen sie die komplette zeit ",0
8," with the following statement
television advertising  aged two tein essay welches diese schreibaufgabe gut erfã¼llt umfasst mindestens 300 wã¶rter ihr text wird anhand unterschiedlicher qualitã¤ten beurteilt diese beinhalten die darlegung ihrer ideen die organisation des essays sowie die sprachliche qualitã¤t und genauigkeit sie haben dafã¼r 30 minuten zeit versuchen sie die komplette zeit ",0
9," with the following statement
television advertising  aged two tein essay welches diese schreibaufgabe gut erfã¼llt umfasst mindestens 300 wã¶rter ihr text wird anhand unterschiedlicher qualitã¤ten beurteilt diese beinhalten die darlegung ihrer ideen die organisation des essays sowie die sprachliche qualitã¤t und genauigkeit sie haben dafã¼r 30 minuten zeit versuchen sie die komplette zeit ",0
10,"advertising for children aged 

first of all i do not believe that advertisings for children are really useful for ",1
11, advertising for young children is not really a big problem because there are enough possibilities for the parents to make sure that they do not get influenced by that ,1
12, advertising shouldnt be for young children because they dont really understand ,1
13, of the people creating those advertisements could be that children are just younger people ,1
14, the advertising which is made for children is ,1
15, many other advertising that isnt only directed to children aged  ,1
16," a lot of advertising  children aged 
now we have to ask us if this should be allowed or not

if kids see advertising for children they could not know that advertising is often just for making money for the companies and often what they promise in the adverstising is unreal so they get a wrong view 
also ",1
17," children who are that young are not old enough to understand the sense of an advertisement 

in my eyes young children should ",1
18, that makes the advertising for the young children in any kind different from the one for older once for example ,1
19, for kids the content of their advertisement is often not even useful because they are about toys or sweets which,1
20," kids aged  cannot really get what is said to them in television what happens only is that they are like oh i really want that 
children these days are watching tv more than they are playing in the woods making them seeing all these things like toys movies or something which are showed off in the best way possible would make the situation worse they may even spend more time in front of a display
but because of that trend that young kids want to watch more tv marketing functions on television 

my personal opinion is young children may should not be confronted with direct advertising we live in a time where marketing works like that ",2
21," the children are to young to understand the meaning of those advertisings this huge industry is not made for  those young candidats

in my oppinion the children at this age shouldnt even watch television tv can be a relly big addiction 


",2
22, television advertising for young children can be dangerous and confusing for them sometimes in television advertisments things are happening which cant possibly happen in real life younger children may not understand that and ,2
23, you look at the whole picture everyone can realize that the television advertising  children does more harm than good while it can help some people figure out what their children would like to have it usually just leaves the child wanting something that they usually dont get because they cant have every toy they see on tv or because the parents are just not able to afford it and that is not all the advertising often ,2
24, add that television advertising has changed a lot in the recent years lots of them provide us a false picture of our society which has a negative impact on us young children may feel forced to follow a certain goal of the ad ,2
25, doesnt make sense to produce such advertisings because children dont or shouldnt spend more time watching television than their parents moreover children cant really react on the advertisings because they dont have money to buy something by themselves ,2
26, of televison advertising children in such young ages can be manipulatet very easily and many companies do that to make money many children can not decide what they need and what things they do not need and ,2
27, is that they just should not watch television at this age the producers want to manipulate the brains of this young children with this adverts but i think its a money waste and a thing which makes no sense to me generally they wont understand anything or they just recognize the pictures and ,2
28, there is worse stuff in television children could get to see than an advertisement towards them which would be toys and stuff furthermore just by seeing an advertisement it doesnt have to mean that they buy it use it or consume it most of the kids in this age havent even got money ,2
29," children donâ´t get what they want they just watch tv because this is an easy method for the parents to calm them down the parents canâ´t force what exactly their children are watching in some cases the children watch ads which are not really appropriate for them the statement television advertising  aged  should not be allowed canâ´t be managed but it can be forced by the parents i think with the following reasons

the televison thinks that showing the ad is going to make the children wanting to watch the movie or whatever it was advertised for the children convince their parents to go to watch the movie together because they donâ´t want to miss it in the moviebreaks there are new ads which are doing exactly the same again they get addicted to the television the children watch more and more tv as they grow up they learn a lot from it but ",2
30,concerning the given statement about television advertising toward young children people have differnt opinions some are convinced they should not be allowed ,3
31,many parents said that television advertising  aged  should not be allowed there are many reasons which are supporting these statement it could be helpful for young children if television advertising should not be allowed in the following ,3
32,television advertising  young childern aged  should not be allowed this statement should be discussted very well because children havent built an own opinion ,3
33,a controversal topic nowadays is television advertising some people think that television advertising towards young children should not be allowed in the following ,3
34," good that television advertising  aged  years and if it should not be allowed in the following part i will explain and answer these questions
firstly children get influence by television and specially young children who arent educated or who start to learn are a part of these children aged  years start to speak and to create their own personality 
so that there are ",3
35," talk about is television advertising  aged  should not be allowed
first of all we need to understand why televison advertising toward children coul be a problem in presentday society in my opinion parents who allow their children wathing tv a lot during the day take a big risk about them concerning the own opinion of their children they may get influenced really fast and even stop thinking on their own if they realised that they may get everything they want to know in a simple tvshow this is really dangerous because they probably do not even realise that they are influenced and they may thing that everything they see in a tvshow is totally true this could be a problem for parents if the children get influenced really bad and than want to have everything they see in television advertising or even thing that it is totally necerssary to have like this special toy they showed ",3
36, it should be allowed that children aged  watch advertising in tv but there are reasons for ,3
37,"the statementtelevision advertising  aged  should not be allowed is a dificult theme for the childrens and for the parents an advertising with the television is a good option which every body could see but should it be allowed for young childrens
first you have to say that television advertising  is a reason for the them to watch more television or play some games in the internet because they recognize that somebody directly talk to them they  will sit more inside in the house and maybe dont go outside and play with some friends in there age you ",3
38,"today i would like to discuss the statement which says that television advertising  who are aged  should not be allowed

firstly the children could be manipulated easily children like this age dont have any life experiences ",3
39,"television advertising toward young children is an often discussed topic these daysin the following text i am goingt to state my opinion if television advertising toward young children aged  should be allowed or not
first of all it has become a normal thing that most of the children are allowed to wacht tv a few years ago like back ",3
40, its for them and not for the parents or others there are many adventages as disadventages,4
41, the parents are the ones who ,4
42, a responsibility by each parents that they can find a good way to handle the ,4
43, the parents do what the want the children are able to manipulate their parents but ,4
44, is is the renponsibility of the parents,4
45, the parents are responsible for their children ,4
46, theres the possibility that the parents decide right fo their child and ,4
47," the parents should decide whats the best for their child 
a situation where ",4
48, each parent should can think about that problem on their own and ,4
49, it is the responsibility of the parents ,4
50, young children are not able to decide what is real or what is wrong there are lots of toys in the advertising which are presented in a fantastic way ,5
51," thing is that children are not able to be manipulated from advertisment if they want toys they say it not matter where in the store or if they watch  television 
it is usally for children that if the see something they want in the television they forget it as soon as the advertisement is over so parents do not have to fear that they will not stop wanting that 

the ",5
52, not able to buy it alone so the televison advertising for the young children are more directed to the parents of them and they can decide if they want to buy the thing in the advertisment or not the people dont need this sort of advertising because young people dont watch that much television children  see an advertisment on television about a toy and ,5
