,cluster,Sentences Count
0,0,9
1,1,2
2,2,34
3,3,9
4,4,24
5,5,30
6,6,29
7,7,55
8,8,6
9,9,15
10,10,32
11,11,2
12,12,74
13,13,10
14,14,20
15,15,17
16,16,26
17,17,12
18,18,47
19,19,33
20,20,1
21,21,20
22,22,76
23,23,10
24,24,8
25,25,16
26,26,1
27,27,1
28,28,5
29,29,34
30,30,32
31,31,8
32,32,23
33,33,16
34,34,36
35,35,6
36,36,32
37,37,36
38,38,1
39,39,9
40,40,7
41,41,12
42,42,48
43,43,12
44,44,23
45,45,20
46,46,1
47,47,15
48,48,1
49,49,21
50,50,56
51,51,48
52,52,34
53,53,6
54,54,18
55,55,6
56,56,4
57,57,2
58,58,1
59,59,30
60,60,3
61,61,37
62,62,78
63,63,34
64,64,16
65,65,9
66,66,11
67,67,15
68,68,39
69,69,4
