,cluster,Sentences Count
0,0,162
1,1,193
2,2,804
3,3,516
4,4,162
5,5,620
6,6,630
7,7,516
8,8,1
9,9,1021
10,10,546
11,11,759
12,12,241
13,13,878
14,14,20
15,15,447
16,16,349
17,17,398
18,18,434
19,19,461
20,20,164
21,21,542
22,22,2
23,23,253
24,24,382
25,25,639
26,26,578
27,27,327
28,28,297
29,29,229
30,30,10
31,31,352
32,32,644
33,33,1
34,34,247
35,35,168
36,36,648
37,37,482
38,38,468
39,39,593
40,40,146
41,41,259
42,42,223
43,43,1158
44,44,864
45,45,230
46,46,455
47,47,328
48,48,124
49,49,1
50,50,272
51,51,306
52,52,846
53,53,236
54,54,183
55,55,505
56,56,299
57,57,725
58,58,729
59,59,299
60,60,163
61,61,77
62,62,542
63,63,205
64,64,393
65,65,170
66,66,272
67,67,141
68,68,407
69,69,131
70,70,289
71,71,491
72,72,623
73,73,1107
74,74,162
75,75,459
76,76,361
77,77,425
78,78,371
79,79,407
80,80,256
81,81,783
82,82,426
83,83,177
84,84,97
85,85,255
86,86,374
87,87,791
88,88,373
89,89,573
90,90,242
91,91,195
92,92,144
93,93,1
94,94,461
95,95,495
96,96,646
97,97,360
98,98,282
99,99,216
