,ios,file name,argument
0,0,1237_aID1AD.txt,i do not think there should be any legislative attempt towards restricting television advertising towards young children.
1,1,1237_aID1AD.txt,"the purpose of government is to protect the natural rights of its citizens, not to interfere in their lifes."
2,2,1237_aID1AD.txt,"those natural rights include the right to life, to liberty and property, all aiming to give the people a maximum amount of freedom."
3,3,1237_aID1AD.txt,"now, obviously a child does not posess the same ability to make choices as adults, so placing them under authority is essential to safe adolescence."
4,4,1237_aID1AD.txt,"this authority however, must be a parental one and not one of the state."
5,5,1237_aID1AD.txt,"it is completly unnecessary to restrict advertising because when growing up, parents can do a far better job at restricting influences on kids than the government because they have direct knowledge of their mental state."
6,6,1237_aID1AD.txt,normalizing the grabbing of traditional tasks of parents could lead to an increasingly dangerous amount of power concentrated within legislation.
7,7,1238_aID1AD.txt,"in the following text i will discuss the following statment ""television advertising directed toward young children (aged two to five) should not be allowed."
8,8,1238_aID1AD.txt,this statement confronts us with an actually theme.
9,9,1238_aID1AD.txt,much children in this age watch much tv and plays also games on a computer or tablet.
10,10,1238_aID1AD.txt,but is this good ?
11,11,1238_aID1AD.txt,"nowadays it gives much fims and series extra for children in this age, some who they learn something and other to have fun."
12,12,1238_aID1AD.txt,the most series want  to tell something to the kids an want that they learn much while they looking the films.
13,13,1238_aID1AD.txt,so they have a good aim.
14,14,1238_aID1AD.txt,"the most things children must learn they learn when they have some people arround them and explore something on their own, they must amke their own mistakes and experience and not a computerperson, who tells them something."
15,15,1238_aID1AD.txt,"another point is that children needs much activities and must learn, how they can move their bodys correct."
16,16,1238_aID1AD.txt,"when they sits in front of the tv and watch series and films the whole day, they donâ´t know how they make a thing by theyself."
17,17,1238_aID1AD.txt,"also they donâ´t build a own creativty or a own meaning, based on their experience, because they donâ´t have own experience."
18,18,1238_aID1AD.txt,"when children have the chance to play in the garden and learn their something about the nature around them itâ´s really much better and niecer for the kids, as a television advertising."
19,19,1238_aID1AD.txt,"on the one hand the films want the children to learn something what they need in their future and for the school, but on the other hand they confront them with unrealistic computercharacters, which looks really unreal."
20,20,1238_aID1AD.txt,"this is so since a few years, before it gave some nice series for children and not so much like today."
21,21,1238_aID1AD.txt,"the maincharacters their were normal animals or real humans, which talk to the kids."
22,22,1238_aID1AD.txt,"at the end you can say, that it should be not completly not allowed, but the children must have the chance to make their own experience and they should not be directed with television advertising every day."
23,23,1238_aID1AD.txt,"a little consum is not so bad, when the parents vote a good serie."
24,24,1238_aID1AD.txt,at the end you can they
25,25,1240_aID1AD.txt,"advertising at the tv is a very useful way to speak to the people, but can young people, children, stand against the advertising?"
26,26,1240_aID1AD.txt,"at first you have to say, that young children should not watch tv to much."
27,27,1240_aID1AD.txt,"if a child doesn't watch tv, the question of advertising you don't have to ask."
28,28,1240_aID1AD.txt,in addition children can find a present for his next birthday or for next christmas.
29,29,1240_aID1AD.txt,"it would be eassier for the parents to chose the right present, because they know, what the child wants, for example a new car or a new barbie."
30,30,1240_aID1AD.txt,futhermore the children learn to say no to the things the advertising wants to sold you.
31,31,1240_aID1AD.txt,"this knowledge is something they have to learn for their live, so why can they learn it aged two to five?"
32,32,1240_aID1AD.txt,"on the other side it give also many arguments, which are against the advertising at the telivision toward young children."
33,33,1240_aID1AD.txt,"the children have got many toys with they could play, but if they see the advertising they are not proud of their toys anymore."
34,34,1240_aID1AD.txt,"the toys on the tv are much better then their one, they think, so they want it."
35,35,1240_aID1AD.txt,this argument followed to the main statement you have to say at this topic.
36,36,1240_aID1AD.txt,"it doesn't matter, if they have a car or a barbie, the toys on the tv shows better then their one, so they need a new."
37,37,1240_aID1AD.txt,"children don't understand it, if they don't get it, because they have something at home, but the parents can't buy everything, which is shown fantastic on the tv and this doesn't understand a child."
38,38,1240_aID1AD.txt,"so in my opinion advertising for children between two and five should not be allowed, because the prior arguments."
39,39,1240_aID1AD.txt,"if the children a little bit older, they can decide, which they really need and which not."
40,40,1241_aID1AD.txt,television advertisement is something completely normal for us.
41,41,1241_aID1AD.txt,"however, should it be directed to young children or not?"
42,42,1241_aID1AD.txt,it can influenz the children and change their personality so that they only look at their own needs and don`t take other people into consideration.
43,43,1241_aID1AD.txt,they develope a need for everything they see and get self-centered.
44,44,1241_aID1AD.txt,children shouldn`t even watch tv long enough to see these advertisements.
45,45,1241_aID1AD.txt,instead they should play with other kids outside and learn to share and communicate with them.
46,46,1241_aID1AD.txt,"but some tv programms can be useful, if they educate the children and increase their kreativity."
47,47,1241_aID1AD.txt,"nonetheless there are advertisements on these channels, which might be good for them and the companies who placed these advertisements but it doesn`t help the children learn to share and play with other children."
48,48,1241_aID1AD.txt,"in my opinion there shouldn`t be television advertising directed to young children, because it only benefits the companies who make money with it."
49,49,1241_aID1AD.txt,these advertisements are only aimed at the money of the parents of the children.
50,50,1241_aID1AD.txt,"furthermore, the children get the feeling they can have everything they want and don`t learn to value money."
51,51,1242_aID1AD.txt,i agree with this thesis because young children especially at an age from two to five are more likely to be caught by an advertisment.
52,52,1242_aID1AD.txt,"while they're watching his or her daily programm, which has an educative meaning for the children because it is the age in which they can learn the most and they schould do learn the most, the advertisements will lead to a feeling of need which would be connected with a greed."
53,53,1242_aID1AD.txt,the parents where 'forced' by crying or similar to buy a product which the child doesn't want but which it has to have.
54,54,1242_aID1AD.txt,advertisements would manipulate children at all an in peticular at this age.
55,55,1242_aID1AD.txt,for example the christmas business.
56,56,1242_aID1AD.txt,the time where all companies can make and want to make the largest profit possible.
57,57,1242_aID1AD.txt,therefore they will make more advertisements and the cycle starts again.
