,text,cluster
0,"""Should it not be allowed to produce television advertising directed toward young children at the age between two and five?",12
1,"On this question is based the following text, which shows advantages and disadvantages  including my personal opinion.",16
2,"First, the main time a person is watching TV is during the evening.",17
3,Some people also watch a movie after lunch while they want to have a short sleep.,1
4,"At this times a child aged two to five even sleeps too or it is playing with friends, so that the child can not see advertsisings.",13
5,"However the television can be nessecary, because some kids have an evening routine in which they watch one serie of their favourite movie 
and afterwards they go better to sleep.",1
6,But during such a movie there is not more than one time advertising.,8
7,"The most children are not interested in this advertsing and do not watch them, so that it is unnessecary to produce television advertising directed to young children, then they do not see them.",13
8,"The most important argument is, that children aged two to five will never understand television advertising even if you show toys or pets, because they do not know the reason of advertising.",13
9,"At my own opinion I will say, that television advertising for young children can be allowed, but it is not nessecary, because they do not watch much films .",12
10,Besides they do not care about the advertising and would not understand the background reasons for it.,8
11,"In the following text, I`ll discuss the statement about the programm of television, which is directed to very young children by the age of two to five.",1
12,"For me itÂ´s an important theme to talk about, because the medias in our time can be very dangerous for the developement of children and also teenagers, but in this moment the age of the young chldren is important for the statement.",9
13,"I think, television is something, which is fun and free time for you, but it also can change your opinion about some topics and meanings, which you have.",17
14,"Young children are very influenced by everything,which they see and hear, so the television can be dangerous or bad for them, but it can be allowed to cut them from the medias, but itÂ´s not the right way, I think.",1
15,"ItÂ´s better to show them, how to handle with television or games or something like that, because the children are learning for their lifes and not just for the moment.",1
16,"In the statement, itÂ´s described that very young children, from the age from two to five, should not watch television and for me it has something true, because in the age of two or three years, you should not watching televeison.",1
17,"A little kid should play with its toys and parents and not watch televison the whole day, because it can be a negative point in its developement.",1
18,"But I think, you canÂ´t say no with a law, so itÂ´s difficult to handle with this topic.",16
19,"A solution can be, that the parents of the children have to handle right with this topic, because itÂ´s important for their children and their developement.",9
20,"Older children, like with the age of five or six or elder, it is of course right and possible to watch television with a time, which is given by the parents, so that the cildren can watch a serie for one hour and then itÂ´s finished for this day.",1
21,"So all in all, I agree at some parts with the statement, but not at all.",16
22,"The main thing, that is important is the bad influence by television for too young children, so it could exists problems in future, which are developed by the television.",17
23," For the question, if the advertising directed toward young children shoul not be allowed, you can think on some opinions for and against it.",12
24,The television advertising is sometimes very funny and beautiful for the kids.,13
25,So they can lough and be happy.,4
26,"They show some carracters that show the kids how they can do something, and the children are learning something.",14
27,But also there are some advertising that arenÂ´t very helpful to show children how they can do something or they can behave.,13
28,"Sometimes the children learn something, they shouldnÂ´t learn.",15
29,"A situation for example for this is when a child is sad because another child took his car for playing away, so the kid is really sad and donÂ´t know what he could do.",11
30,"He saw an advertising where this happend and the solution was that the child hurt the other one, and that is not ok.",15
31,"In reallife the kid who is sad, because he want his car back, knows that he can hurt the other one to get his car.",11
32,So itÂ´s not ok to show them this kind of stories because they learn from it...,11
33,They should show how to play a game or to take part in other plays where he can play with other children.,14
34,Also I think that children who are at the age of two to five shouldnÂ´t be allowed to watch tv because itÂ´s not good for their eyes.,1
35,ItÂ´s better for them to play in the kindergarten or to play with their mum.,14
36,"There are some little things that could make them happy... for axample spending time with their mum, so they can build a better feeling for each other, because they get to know each other better.",14
37,"How I said in the begining there are some funny and beautiful advertising which make the children smile and be happy, but I think that they can do other things for being happy.",3
38,"So all in one I think that the Television advertising should be allowed, but those who make the children learn something they shouldnÂ´t learn shouldnÂ´t be allowed.",12
39,So the advertising should be controlled by some people that know what is right for children aged two to five.,13
40,The following text is about the named statement.,16
41,Television is today more impportant than in the past.,17
42,In the past the children go outside an play with other children.,14
43,Most of children watch television so they are at their own.,1
44,I disagree with this statement because young children aged of two to five should be learn to play with other children at their age.,14
45,When they look tv the children are independent of this media so they can't live without watching tv.,17
46,So the children should be play with their parents or with other children because they aren't be alone and also they meet new people.,14
47,The reason is that they are in contact with others and that's better for their future.,5
48,It ist so important because later they can meet new friends easier than without playing with others.,14
49,The children without playimg with other children don't know the contact with others.,14
50,So the relationship to other children is better when the children play with other children.,14
51,An arguement could be that the television shows pograms which aren't good for young children.,1
52,Also the pograms are for older children (aged seven).,7
53,Many pograms aren't real but the children watch them and think they want do the same.,15
54,Many pograms could be dangerous for young children so they dreams bad and that's not good for their little life.,15
55,Much peeple say that television is good for their future and it's is the real life b ut it isn't it.,17
56,The shows are played of actors who leatn their text and then play it for the camera and the pproducer.,17
57,So it isn't the real life.,16
58,"""The children can learn of watching tv"" That isn't right because the children learn more in playing with toys.",1
59,Beside they learn the rules of their parents and they know in which their are allowed to something and what it isn't allowed to do.,5
60,So the children should'nt watch television because they are things which are better than that.,2
61,Also the independence of watching television is tall so later when they are older they want watching tv all the time.,17
62,Then they don't meet friends or do a hobby.,11
63,The age of two to five is the most important time of the life of a children because they learn so much about the life and deleope in a fast time.,9
64,The developement of a child in this age is,9
65,"There are arguments for and against the prohibition of television advertising directed toward younger children, which I will summarize and analyze in the following text .",12
66,"First of all it is well-known that little children are heavily influenced by their surroundings, so that they can get manipulated easily as well.",15
67,"This can be used effectively by television advertisements, which portray them a false picture of reality, causing children to ask their parents for things they don't actually need.",4
68,"This is often the case with toys, that are shown to be really fun in advertisements, while in reality they often are quite lame.",3
69,"Additionally children can't even realize, when they are getting baited by a company, so that it is up to the parents to explain why a particular product is not as good as portraied in the TV, which most of the time can't be understood by children, which might lead to some sort of unhappiness.",3
