,text,cluster
0, reason is that young children at the age  can not understand the main statement from the television because there brain can not translate or understand the film which is shown as a ,0
1," wouldnâ´t know the value of these things
my opinion to this topic is that televsion  advertising directed  should be stopped furthermore the parents have to have an eye on their children if they watch tv watching tv in these ages can ",1
2, reason is that this kids should not grow up with a television because if they look tv at the begin of their lives they could focus their future to look fluently and hours ,1
3," and even small children watch television so it may occure the question whether tv advertising  aged  shoud or should not be allowed 

first you should allow this kind of avertising because it helps the parents to buy things which fit with the specific wishes of their children so the little child can watch tv and ",1
4, on their there future lives could be mainly destroyed or would stay on the lies of the television my last reason is that children at the age of  are defintiv to young to look tv because of the risks and the ,1
5,television  young people should  be allowed but the children should watch tv not ,1
6, with this statement because it is not bad if little child seeing television advertising in this age but they should not watch it ,1
7," they will make tv watching a family activity

in the end i can only say that television is a big part of our lifes now a days and that children in the age 25 must be allowed to interfier with that in the future there will be more and more technology and we can not forbidm the children to not live that life",1
8,"television advertising  should not be allowed thats the way many people think about the influnce of media like televison on young childreni dont think it should be not allowed but i am not the opinion that its positive for them

 every parent should decide if he lets his child watching things  which can be dangerous for the development of his own child not everybody sees that as negativ because a lot of people doesnt believe that children ",1
9," they shopuld have a time where they are allowed to watch there series or there favorite movie that is what makes the children happy now a days 
furthermore more many child series and movies on tv teach many life lessons ",1
10," often like adults because they have not enough concentration to watch an hour a day moreover it is bad for the childrens eyes young children must play with other friends and should not sit at home to watch television but often young children can learn something by watching television an example is that they learn to treat the other children in the kindergarten better or learn to say different words also little children learn what is forbidden and what is right but they should watch series which are made for young children with an age of if they look criminal series it is not good for their evolution and they can missundertand what the people are doing 
televison advertising is not good for the childish brain because they do not know what is important and what is not but i do not think that it is bad if they watch it
i ",1
11, itâ´s not good to direct the advertising toward young children because the children in the age of  canâ´t say anything about there own opinion because they are to young to say it ,2
12," children maybe donâ´t want advertising that is  them the children aged  are far too young to think about there own opinion and to think about advertising being  them
on the other ",2
13," young children dont know 
more important theses adverts influence the childrens mind and their psychological development thats not good children may believe whats said in the advert plus the strategy of advertisment is to create needs and children cant deal with that 

all in all adverts for children aged  shouldnt be allowed because of their negative effects on the children they create wrong needs and slow down the psychological development they only help companies to improve their profits and this is not good we shou",2
14, children are not able to think critically about the advertisement they cannot know wheather they really need a product or it is just unimportant for example children do not need their own playstation ,2
15, this adverts shouldnt be allowe because these young children cant do anything with this adverts the children get irritated and dont know how to react as an adolscent you know how to deal with adverts and that their content isnt always the truth but children ,2
16," these advertisements should not be allowed because for the children there is no benefit their health and happyness would suffer and the profit of the industry is not worth it 
 



",2
17, is just valuable if the advertisment is supposed for children and does not have strongly influecing parts maby the companies could make an advertisment which gives the child useful information the information could be about important topics in our contemporary society ,2
18," the advertisment could have negative effets on the children
on the other ",2
19, it might be important for the television to direct advertising toward those young children,2
20, you could say that itâ´s good to direct the advertising toward young children ,2
21, they are really young they do not know that it is unhealthy if they use it too much ,3
22, be discussed whether itâ´s good for them,3
23," that they get problems with their eyes et cetera  
on the other ",3
24, with this statement because off some understandabel reasons and examples the ,4
25, for and against the statement manchend at the begiining,4
26," about the responsable thing eith the nature

in conlusion ",4
27," for the probmlem

for me its hard to judge about this because i never thought ",4
28, that  a special advertisment for children should only be allowed if the advertisment is controlled by the parents or a kind of institute in the ,4
29,in the modern world many children grow up with a lot of technical devices in the following text ,5
30, aged  understand the things they seemany parents cant even imagine that many ,5
31, children are learning very much in this part of life ,5
32, intensiv about this topic maybe because i am not a parent ,5
33," with this statement because the televison advertising have many negatives effects
the ",6
34,nowadays advertisments are everywhere and anyone watches tv in the television is ,6
35," inform you about television advertising
i am ",6
36," that it would be difficult to stop televison advertising which is  in the ages 
televison advertising could be helpful especialy for parents if they donâ´t have an idea concerning to give a present to their child 
but ",6
37, watching telivison advertising in these ages can lead to the missing ability to appreciate things which are advertised in the tv ,6
38," important for the television advertising to do that
all in all ",6
39,"in the following essay i will show negativ reasons and examples for the statement  television advertising  should not be allowed
in my opinion i ",6
40," which speak for or against the advertisment which is directed 

the biggest ",6
41," discuss the controverse theme if television advertising  should be allowed or not
on one ",6
42," and even small children watch television so it may occure the question whether tv advertising  aged  shoud or should not be allowed 

first you should allow this kind of avertising because it helps the parents to buy things which fit with the specific wishes of their children so the little child can watch tv and ",6
43, they could understand the truth of the television and its ,7
44, they are at home as you can see there are a lot of times where they do not have time watch tv ,7
45, toys or electronic devises to play with if they always want more toys the parents maybe will follow their wishes to make their children happy and make these wishes come true which can lead to the missing abilities mentioned ,8
46, they would  not focus on there future work lives the ,9
