,text,cluster
0, its okay if children want to watch television but its ,0
1, looking at the stuff their children watch the tv can be switched off ,0
2, should let the children watch it but ,0
3, it is better to show them books with a lot of picures than to let them whatch tv young children should ,0
4," play it for the camera and the pproducer so it isnt the real life 
the children can learn of watching tv that isnt right because the children learn more in playing with toys beside they learn the rules of their parents and they know in which their are allowed to something and what it isnt allowed to do 
so the children shouldnt watch television because they are things which are better than that also the independence of watching television is tall ",0
5, the children have to watch tv to choose the right program a good ,0
6, the parents regulate the watching time and ,0
7, they now many things but only children who are older than four should do this for younger children television is not good it is okay ,0
8, it is very hard for them to understand what is the truth and what is not in the tv also would a children try to buy everything which is showen in the tv because they just want to have everything and this were the parents have to do their work and sometimes have to say no to for example ,0
9," for the children their parents and those buisneses
in my opinion young children should generally just spend a small amount of time watching television they got easily distracted by it and they ",0
10, its alright if there is television advertising ,1
11, advertisement for children sould not be allowed ,1
12, they canâ´t say if they want to do that because itâ´s the only way to direct an advertising toward young children itâ´s ,1
13, advertisement towards young children should be allowed ,1
14, the advertising could help the parents find out what the children want e g for present for the birthday or christmas but there are ,1
15," this advertising be forbidden
personally i dont consider this ",1
16, children get conftonted with advertising daily even ,1
17," children maybe donâ´t want advertising that is  them the children aged  are far too young to think about there own opinion and to think about advertising being  them
on the other ",1
18, that should not be allowed when children are heavily influenced by advertising ,1
19," you show toys or pets because they do not know the reason of advertising

at my own opinion ",1
20," is that the television advertise directly toward young children
on one site children can learn from some of these chanels for young people many chanels started producing movies and series for young children where they show how to learn ",2
21, the kids channel do that the children maybe see a new toy and happy children says that it is ,2
22, im agains television advertisement for children,2
23, there has to be some sort of advertising between two shows that are made for children it wouldnt be too clever to put something in there that isnt  children ,2
24, they now many things but only children who are older than four should do this for younger children television is not good it is okay ,2
25, is that some kind of them show news for children ,2
26, indeed the show were adressed to children and ,2
27," there is tv advertising for a specific toy that the children like it and the parents can buy it to them and it helps parents to confirm their young children to turn the tv off because there will be a five minute break full of advertising which is boring to see anyway
in my opinion its not neccessary to show little children television advertising but it doesnt have to be canceled the parents have to decide what is the best for their children thats enough",2
28, televison advertisement towards young children is not allowed it doesnâ´t stop that young children can be manipulated very easily and want most of the things they see so ,2
29, children are nothing but the medium to their parents money enterprises have chosen this method of advertising because they are on current with nowadays methods of raising a child and that televisions are often a part of it if the parents now think of this advertising as ethically wrong one ,2
30,nowadays advertisments are everywhere and anyone watches tv in the television is ,3
31, of television advertisement is the ,3
32, arguement regarding to the statementtelevision advertising  should not be allowed ,3
33," name reasons for and against this statement and show my own opinion

in the television there are several different ways of advertising for a product or an campaign for example songs that you will remember even four weeks later or situations out of daily life besides you can watch advertisements in tv that show people who do embarassing things ",3
34, which is the reason for creation of such ads in the ,3
35," think of the fears people might have about television advertising  
all in all it is a exercise for all of us to find a good way to handle this situation because the technology will improve and improve and there will be more and more companies using this way of advertising",3
36,"
advertises are often shown in the tv they adress all ages even really young children and that might be a problem as many criticers say 
young children are easily influencable by television advertising so they might build themselves wrong values which stay their whole lives in their head and behaviour 
on the other ",3
37,should television advertising be  this is a well discused question and ,3
38, that it is necessary to differentiate advertising addressed  can create ,3
39," advertisings are made to interest people and to make them buy the things shown in the television
that is the normal reason to produce advertisings it is the same ",3
40, children are not able to think critically about the advertisement they cannot know wheather they really need a product or it is just unimportant for example children do not need their own playstation ,4
41," of view
furthermore children influenced by tv ads are going to to try and make their parents buy those certain products which they most likely wont ",4
42,"
advertises are often shown in the tv they adress all ages even really young children and that might be a problem as many criticers say 
young children are easily influencable by television advertising so they might build themselves wrong values which stay their whole lives in their head and behaviour 
on the other ",4
43," children and adults is increasingly high
especially kids should not be raised in such a materialized society they cannot differ between the appearance of the product in the advertisement and the realistic relation between price and quality
that will lead parents to buying products they would consider too expensive or not appropriate under usual circumstances
why should a threeyearold girl want anything else than the new robotbarbie that is praised to be the one and only toy in advertisements
these advertisements are created and designed for one purpose only theyre supposed to persuade children to want the product bad enough to beg their parents to buy it
in my opinion parents should keep their children away from tvadvertisements ",4
44," children maybe donâ´t want advertising that is  them the children aged  are far too young to think about there own opinion and to think about advertising being  them
on the other ",4
45," confronted with other advertisements that might have an even more negative impact on their development eg alcohol advertising

on top of that there is the chance that these advertisements create an interest the children can dedicate their life to eg playmobil toys of ancient rome may create a passion for this epoque nevertheless this includes the risk of bad habits that may have a negative influence on their ",4
46," young children have to learn how to deal with advertising for example that not everything what is said in advertsings is right or usefull if they dont learn that early they may have problems with it later 
on the other ",4
47, advertises are shown with kids as target the children will try to force their parents to buy them the things they have seen on the tv but if their parents tell them they do not need this maybe the children will understand and everything is fine so it is very important to show the children who has the power in addition children  are not that good in arguing they will just say something like i need this toy please buy it daddy and if the parents are smart they will tell them that they do not need it ,4
48, children are nothing but the medium to their parents money enterprises have chosen this method of advertising because they are on current with nowadays methods of raising a child and that televisions are often a part of it if the parents now think of this advertising as ethically wrong one ,4
49, they are looking exciting and interesting and many parents want to give them what they want to make them happy or just to stop them being annoying and exhausting the advertisments are manipulation the children by attract their interesting and showing the product as a great and exciting thing which it needs to have for this reason id forbid advertisments for children in a young age but one the other ,4
50, they cant live without watching tv so the children should be play with their parents or with other children because they arent be alone and ,5
51, important to think about what could happen if they watch too much in my opinion its not that intelligent to let kids watch tv the whole time but why i know that children have to play outside and do things without any technology im from the generation where the media got important im lucky that i had a childhood without a phone or a computer  all these things were something my parents didnt allowed me to play with i remember the happiness ive felt ,5
52, reason is that this kids should not grow up with a television because if they look tv at the begin of their lives they could focus their future to look fluently and hours ,5
53, its okay if children want to watch television but its ,5
54," essay
 in our generation it is normal that children have a mobile phone and a i pad or something like this when they do not have the best of the best they were uncool and sometimes they get bullied by other children the parents try to get them back to the old times like playing in the garden or reading a book when i was 5 years old id love to play with my friends or with my babybornfurthermore i do not even really now what happens around the world or what televison can be sometimes i watched movies for children but never a ducumentary nowadays children at this age have their own tv in their room and there are many shows whitch are not good for them or things they can not understand at this age moreover they here something about political stuff in the trash tv and they think it is right if its not adressed to them
so ",5
55,"
in my view young children aged  should may watch television but it have to be regulatged by the parents for example once a week an doumentation which is specially made for young children is good to learn something and learn what the tv is anything more than this makes the ",5
56," the young children need fresh air and the conversation with parents or friends wehn the children watching tv all day they are allone and havent activity

the televison has positiv ",5
57," for the children their parents and those buisneses
in my opinion young children should generally just spend a small amount of time watching television they got easily distracted by it and they ",5
58, to this statement because it could bring the young children to much to the television and could them let forget to play outside its much more important that young children learn something in books or outside ,5
59,i think children from 1 to 5 shouldnt watch television at all they should go outside and play and not sit inside and watch television in our society today all kids just sit inside and play with their tablats or phones that is very bad they dont receive the experience from playing outside the advanteruse in the forests or the scary dog from your neighbor they just knew the internet my generation ist i think the last who doesnt have phones or something in teir childhood we play outside with our friends and doesnt text over facebook or snapchat its scary because ,5
60," young kids see advertisment about new products everyday they will not be satisfied about what they have because they always see that there are new and better products 
one ",6
61, children are not able to think critically about the advertisement they cannot know wheather they really need a product or it is just unimportant for example children do not need their own playstation ,6
62," more and more companies direct their advertising towards this age group
this means that children are manipulated more and more often and ",6
63,today children are already confronted with the permanet influence of social media and technology at a very young age which seems to be a chance for companies to sell their products by using advertising in a clever way thats why ,6
64," of view
furthermore children influenced by tv ads are going to to try and make their parents buy those certain products which they most likely wont ",6
65," children and adults is increasingly high
especially kids should not be raised in such a materialized society they cannot differ between the appearance of the product in the advertisement and the realistic relation between price and quality
that will lead parents to buying products they would consider too expensive or not appropriate under usual circumstances
why should a threeyearold girl want anything else than the new robotbarbie that is praised to be the one and only toy in advertisements
these advertisements are created and designed for one purpose only theyre supposed to persuade children to want the product bad enough to beg their parents to buy it
in my opinion parents should keep their children away from tvadvertisements ",6
66," much advertising that they didnt even realize that the things in advertising arent real and in cause of that they will believe in things that aren real and build their world on wrong thoughts for example that little girls could think that unicorns and elves are real because they saw that in tv it could be hard for the parents to explain their kids that the unicorns are only animated and that they dont live in the real world such a statement could be shocking for a young child
but it is normal for kids to believe in things that arent real like princesses or fairytales if they grow up they will realize that they lived in castle of fantasies it is a normal experience for kids and nothing to worry about because it worked for generations of children
furthermore the parents could prepare their kids for example it is necesarry to talk about the advertising and the parents should explain their kids that you cant buy everything just because it looks fantastic in the advertisement they could make a trip through the supermarket and show their kids the toys of the television advertising and show them ",6
67, with this statement even if the child really wants the product that was advertised on tv the decisions if its bought or not will be made by the parents the child cant just buy things on its own the role of the parents is another reason why ,6
68, advertises are shown with kids as target the children will try to force their parents to buy them the things they have seen on the tv but if their parents tell them they do not need this maybe the children will understand and everything is fine so it is very important to show the children who has the power in addition children  are not that good in arguing they will just say something like i need this toy please buy it daddy and if the parents are smart they will tell them that they do not need it ,6
69, watching television or have children yourself who  watch these channels youve probably encountered the high amount of long advertisment blocks in which products like expensive toys sweets or lemonade are being presented in todays world a lot of parents use modern media to entertain their kids because of what it is important to question the effect of these advertisments on the younger generation ,6
70, that is because the danger of getting influenced is too big and this could be a problem for the whole life of the children,7
71, the parents should keep an eye on their very young children ,7
72, they are controlled by their parents or adults ,7
73," can be that the parents of the children have to handle right with this topic because itâ´s important for their children and their developement
older children like with the age of five or six or elder it is ",7
74," they are potential customers  not the children themselves

in conclusion ",7
75, they cant live without watching tv so the children should be play with their parents or with other children because they arent be alone and ,7
76," the parents have to control what their children watch
second i will write ",7
77, if young children are confronted with ,7
78, the children deserve to sometimes not always get what they want ,7
79," children and parents are mad
on the other ",7
80,concerning the given statement about television advertising toward young children people have differnt opinions some are convinced they should not be allowed ,8
81, television advertising  in the age of  should not be allowed because in this age children started making their ,8
