,text,cluster
0," for advertising s young children is that they will see new things to play with and maybe they will get a bigger imagination or just new ideas 
but watching too much tv ",0
1, is that the young children are the customers of tomorrow and with the advertisemnets they get an overview about the varieties of toys sweets or games in our modern world and if you are realistic they will always have to deal with adevertisement ,0
2, children are easily influenced and get overly excited very quickly so for companies that produce let us say toys it is a good idea to broadcast advertisements on television channels with a young audience ,0
3," of the adverstising is that the kids think more about the different products which they could buy after they watch some different ads they easily know which products they like the most and which ones not the advertisemnt could help the children to built their own opinion about the products and compare it to other ones  

    on the one ",0
4, doesnt make sense to produce such advertisings because children dont or shouldnt spend more time watching television than their parents moreover children cant really react on the advertisings because they dont have money to buy something by themselves ,0
5, for kids the content of their advertisement is often not even useful because they are about toys or sweets which,0
6," it is he most likely way the most important thing is that children see some funny thing a big amount of colors and characters no matter if they are real or invented having fun

advertising to children is bad children get to see some products that they instantly want to buy you might wonder why children watch adevetisements they are probably not allowed to switch the channel because their parents told them not to so the little boys and girls are sitting in front of their televisions watching the advertisesment and storing all the information in their heads when they go shopping the ",0
7,firstly it isnt that good for children to see advertisment because if they see a toy or viedo games which doesnt belong to them they probably want this item and if the parent dont  buy it for them they might feel incomplete and got a empty space in their hearts in the psychologic ,0
8," its  them the young children can only understand everything through their vision
when parents see the advertising which often is about some kind of toy that every children wants to have they could take that as an idea for a birthday present or something like that which would be an ",0
9," have this now they try to make their parents buy this for some products they may win and the company becomes more money but thats the only reason i see to show young children adverstising on television
advertising could influence young children very easy that is good for the companys and the industrie nor for the children and the parents and there is ",0
10," watching television  it could be very stressful for the parents to seperate the childrens from the television 
",1
11, their children and play with them outside than watching tv,1
12, they play outside with their parents or other young children in their age if they pass too much time in front of the tv they lose to much time in their young age ,1
13, be playing with their cars or barbies than watching television programmes there are better ,1
14, going out and playing with other children television may ,1
15, children sometimes watch something on television which is thought for their age parents get some free time ,1
16, young children should enjoy their live playing with friends outside and go on an adventure by themselves they have enough time to watch tv ,1
17," playing outside with their friends friends are better for thier social development than the tv
but ",1
18," many better things for example going outside and play with their siblings or neighbours because a lot of the tv shows involve stupid or not necessairy things wich kids shouldnt know

an other ",1
19,nowadays many children like to spend their time in front of a television or like to watch something with their parents its normal that ,1
20, children are not able to think critically about the advertisement they cannot know wheather they really need a product or it is just unimportant for example children do not need their own playstation ,2
21, every child wants the thing in the advertisment there are huge parts in industries which are specialisted exactly to manipulate the advertisment and thats not correct at all and in any case the children are most effected of it and the problem here is that the childs parents dont teach the child that this exact thing isnt good yes maybe the parents are the howl problem in this case sometimes the child is ,2
22," they have to fight vocaly with their children cause they want to get all but someone in this case it is the parents have to teach them right consumerthinking 
also the most of the time products of the advertising arent that usefull for children in this age in most of the cases its just stuff to play but it isnt important at all the ads on childrenchannel in tv are only showing this kind of products ",2
23," the children are too young to buy these things too when they see something in the advertising its hard for them to buy it by thereselfs maybe its even impossible so parents have a controll on the things the children buy and they even have a controll on what the children watch in the television so its there task to save their children 
and ",2
24, advertising s young children aged between two and five is not really fair the products in advertisements do not look the same in reality as they do on tv and most of the time the product is not able to do the things it does on tv and very young children are not old enough to see that they can be tricked very easily and that is the ,2
25, the parents who have to grab into their wallet and buy it children may get overwhelmed by all those products and want them all which could turn into some unpleasants row between parent and childall in all i think it is unneccesary to show an advertisment to such young people becaus,2
26," its  them the young children can only understand everything through their vision
when parents see the advertising which often is about some kind of toy that every children wants to have they could take that as an idea for a birthday present or something like that which would be an ",2
27," advertising shows up most of the children think as soon as they like what they see they have to have this product so they run to their parents and show them this thing that they really need 

parents can react differently to this situation they can say to their child ",2
28, it is wellknown that young children talk a lot it could be possible for them to scream for the products in the advertisment to their parents untill they are willing to buy those things i guess that is cleary what the advertisment industry is aiming for they try to influence the childrens mind ,2
29," is that most of the young children in this age cant think rationally like an adult they think that everything what they see in the advertising is real but a lot of the advertising are fake so its really easy to manipulate the children with the advertising
the ",2
30, they watch this they usually want to have these things but they cant get everything they want ,3
31, they see a product in a television advert that they like they do not think about important ,3
32, cant know what is useful and what is not that could make them want things they dont need and maybe they get them but ,3
33," they are not able to deal with it and to have a feeling for the worth of the product 
furthermore ",3
34, seeing something else on television they dont understand why their parents wont buy it for them ,3
35, they watch the advertises the always think that they need this toy or whatever it is and ,3
36, they see it in a shop they will beg their parents to buy this specific product ,3
37, they dont get what they want now imagine they see an advertisement on tv and are persuaded into thinking they desperately need that item ,3
38, think they can get influenced or want something ,3
39, they see that even their friends now bought that very toy if the parents dont ,3
40, that it can effect the life of a child an other problem is that the children can relax ,4
41, not good for the environment or the childs health ,4
42, why should it be bad for children first of all most of the children dont understand some of the adverts this can be considered good or bad ,4
43, thing we tink about is is it good or is it bad for the children  but ,4
44, its not good for their brains and creativity ,4
45," harmful to the childrens mentality 
that or and many other similar ",4
46, they do not affect the children badly but ,4
47, to it this shouldnt affect children in a negative way because thats where the parents have their part to play it is the parents duty to tell a child what it can or should whatch and whats not sensible and ,4
48, that it might affect the children and ,4
49, so it is not very healthy for them and doesnt have an learn effect ,4
50," with the following statement
television advertising  aged two tein essay welches diese schreibaufgabe gut erfã¼llt umfasst mindestens 300 wã¶rter ihr text wird anhand unterschiedlicher qualitã¤ten beurteilt diese beinhalten die darlegung ihrer ideen die organisation des essays sowie die sprachliche qualitã¤t und genauigkeit sie haben dafã¼r 30 minuten zeit versuchen sie die komplette zeit ",5
51," with the following statement
television advertising  aged two tein essay welches diese schreibaufgabe gut erfã¼llt umfasst mindestens 300 wã¶rter ihr text wird anhand unterschiedlicher qualitã¤ten beurteilt diese beinhalten die darlegung ihrer ideen die organisation des essays sowie die sprachliche qualitã¤t und genauigkeit sie haben dafã¼r 30 minuten zeit versuchen sie die komplette zeit ",5
52," with the following statement
television advertising  aged two tein essay welches diese schreibaufgabe gut erfã¼llt umfasst mindestens 300 wã¶rter ihr text wird anhand unterschiedlicher qualitã¤ten beurteilt diese beinhalten die darlegung ihrer ideen die organisation des essays sowie die sprachliche qualitã¤t und genauigkeit sie haben dafã¼r 30 minuten zeit versuchen sie die komplette zeit ",5
53," with the following statement
television advertising  aged two tein essay welches diese schreibaufgabe gut erfã¼llt umfasst mindestens 300 wã¶rter ihr text wird anhand unterschiedlicher qualitã¤ten beurteilt diese beinhalten die darlegung ihrer ideen die organisation des essays sowie die sprachliche qualitã¤t und genauigkeit sie haben dafã¼r 30 minuten zeit versuchen sie die komplette zeit ",5
54," with the following statement
television advertising  aged two tein essay welches diese schreibaufgabe gut erfã¼llt umfasst mindestens 300 wã¶rter ihr text wird anhand unterschiedlicher qualitã¤ten beurteilt diese beinhalten die darlegung ihrer ideen die organisation des essays sowie die sprachliche qualitã¤t und genauigkeit sie haben dafã¼r 30 minuten zeit versuchen sie die komplette zeit ",5
