,text,cluster
0,advertising in television is becoming more and more clever lots of those ads invade our subconsciousness and try to make us buy the product ,10
1," we do not actually need it 
when it comes to children lots of them dont have enough money to afford these products they dont even understand the concept of money even if they wanted it they can not get the thing they were told they need
also lots of children that age are prohibited watching television by their parents that way they dont even see the advertisements ",2
2," the feeling of needing the toy is not created
and ",20
3, children of that age do not have any intentions of actually buying these things for example ,24
4, i was little i used to watch an advert of a lego set all the time and ,20
5," choosing another toy for my birthday i was not influenced at all by the ad
those were some ",20
6, pro advertising although they seem good and reasonable there are ,11
7,"
for example if the feeling of needing the toy is eventually created the children will harass their parents until they get what they wanted or they got somehing else this is quite annoying for any parent as my mother herself can ",20
8,"
even more convincing of a ban of such advertisements are that ",11
9," the child does not get that thing and other children get it it creates the feeling of missing out something that should not be missed for example i always wanted to have a scooter because all the other kids had one and i thougt i would have such a great time had i had it
and even more ",20
10, is that children this young are much easier to influence than adults are they can not see past the triks these people are using their minds are ,7
11," developping and should not be filled with unnecessary ads
in my opinion advertising towards children should be banned the adverts should ",16
12, be directeed towards the parents of the child,9
13,"should it not be allowed to produce television advertising  at the age between two and five
on this question is based the following text which shows ",13
14,"  including my personal opinion

first the main time a person is watching tv is during the evening
some people ",17
15," they want to have a short sleep
at this times a child aged  even sleeps too or it is playing with friends ",1
16," that the child can not see advertsisings
however the television can be nessecary because some kids have an evening routine in which they watch one serie of their favourite movie 
and afterwards they go better to sleep 
but during such a movie there is not more than one time advertising 
the most children are not interested in this advertsing and do not watch them ",14
17, that it is unnessecary to produce television advertising directed  ,15
18," they do not see them
the most important ",3
19, is that children aged  will never understand television advertising ,14
20," you show toys or pets because they do not know the reason of advertising

at my own opinion ",11
21," say that television advertising for young children can be allowed but it is not nessecary because they do not watch much films 
besides they do not care about the advertising and would not understand the background reasons for it  

",13
22,"in the following text ill discuss the statement about the programm of television which is directed to very young children by the age of 

for me itâ´s an important theme to talk about because the medias in our time can be very dangerous for the developement of children and ",17
23," teenagers but in this moment the age of the young chldren is important for the statement
",8
24, television is something which is fun and free time for you but it ,17
25," can change your opinion about some topics and meanings which you have
young children are very influenced by everythingwhich they see and hear ",8
26, the television can be dangerous or bad for them but it can be allowed to cut them from the medias but itâ´s not the right way ,17
27,"
itâ´s better to show them how to handle with television or games or something like that because the children are learning for their lifes and not just for the moment

in the statement itâ´s described that very young children from the age  should not watch television and ",17
28," it has something true because in the age of two or three years you should not watching televeison
a little kid should play with its toys and parents and not watch televison the whole day because it can be a negative ",17
29, you canâ´t say no with a law ,19
30," itâ´s difficult to handle with this topic

a ",21
31," can be that the parents of the children have to handle right with this topic because itâ´s important for their children and their developement
older children like with the age of five or six or elder it is ",12
32, right and possible to watch television with a time which is given by the parents ,17
33, that the cildren can watch a serie for one hour and ,6
34," itâ´s finished for this day

so ",18
35," at some parts with the statement but not at all
the main thing that is important is the bad influence by television for too young children ",17
36, it could exists problems in future which are developed by the television,10
37," would sure make sense if you want to protect your child against the capitalistic system were living in but it honestly makes no sense to let your child watch tv if youre against advertising further it doesnt really makes a different if the adverstising is  a two year old girl or a 85 year old man in any case the young child will get influenced by commercials the only difference is the way of how the child gets influenced
another ",14
38, against this statement is that ,21
39, the advertising in television influences the children in ,14
40," the show theyre actually watching is far more influencing than the commerials 

but in the other way you have say that this can be really bothering young parents ",14
41, their little son is coming downstairs and all he want is a new playstation because the television said only cool kids got playstations sure you want your child to grow up without tv but sometimes ,20
42, the best mom needs a pause and places her son near the television ,1
43,"

my opinion is that this statement doesnt really makes sense if you want your child to grow up without beeing influenced by tv commercials you dont even buy a television in ",14
44, you can buy your child an mp3 ,20
45, it can listen to good music witch is much better and as highly entertaing as spongebob squarpants,18
46," for the question if the advertising  shoul not be allowed you can think on some opinions for and against it
 the television advertising is sometimes very funny and beautiful for the kids so they can lough and be happy they show some carracters that show the kids how they can do something and the children are learning something but ",14
47, there are some advertising that arenâ´t very helpful to show children how they can do something or they can behave sometimes the children learn something they shouldnâ´t learn a situation ,16
48, a child is sad because another child took his car for playing away ,9
49, the kid is really sad and donâ´t know what he could do he saw an advertising where this happend and the ,9
50," was that the child hurt the other one and that is not ok in reallife the kid who is sad because he want his car back knows that he can hurt the other one to get his car so itâ´s not ok to show them this kind of stories because they learn from it 
they should show how to play a game or to take part in other plays where he can play with other children
also ",8
51, that children who are at the age of  shouldnâ´t be allowed to watch tv because itâ´s not good for their eyes itâ´s better for them to play in the kindergarten or to play with their mum there are some little things that could make them happy for axample spending time with their mum ,8
52," they can build a better feeling for each other because they get to know each other better
how i said in the begining there are some funny and beautiful advertising which make the children smile and be happy but ",0
53," that they can do other things for being happy 
so all in one ",21
54," that the television advertising should be allowed but those who make the children learn something they shouldnâ´t learn shouldnâ´t be allowed so the advertising should be controlled by some people that know what is right for children aged  
 ",13
