,cluster,Sentences Count
0,0,143
1,1,319
2,2,730
3,3,674
4,4,448
5,5,589
6,6,354
7,7,6
8,8,350
9,9,268
10,10,557
11,11,844
12,12,235
13,13,915
14,14,300
15,15,222
16,16,471
17,17,709
18,18,472
19,19,308
20,20,305
21,21,222
22,22,829
23,23,915
24,24,45
25,25,302
26,26,142
27,27,403
28,28,324
29,29,602
30,30,300
31,31,405
32,32,887
33,33,322
34,34,279
35,35,170
36,36,145
37,37,19
38,38,128
39,39,407
40,40,409
41,41,409
42,42,349
43,43,520
44,44,928
45,45,666
46,46,684
47,47,380
48,48,597
49,49,246
