,text,cluster
0,"Since children, especially aged two to five don't have any buying force on their own it's their parents decision whether a purchase is made or not. Advertisement directed at a very young target group therefore does not have an impact on childrens prosperity. They aren't able to amass any debt and therefore the only thing the industry is taking advantage of is the parents soft spot. The children will automatically run up to their parents and beg them to buy the advertised product which only be bad for the parents nerves.",0
1,"Young children can be manipulated very easy, when they see something that looks nice, or toys which other children play with they want to have it. They believe everything which is showed in television. Such young children should't be influenced by advertisments. It is bad for the children if they are faced with all the advertisment, it can influence their learning and growing up process badly. Young children can't buy things themself so the adverisment shouldn't be directed towards them. The advertising should influence the parents through their kids. It tells young children to ask their parents to buy them things, this can influence the children-parent connection.",0
2,"If young children should be the target of advertisments is a very crucial and debatable topic. People that are against it tend to say that already at an very young age children get influenced by big advertisment companies. The children can often be easily manipulated and the resulsts are that the parents need to spend money on products that the children mostly don't need and the joy won't even last for long, cause these children same as the adults will fall for newer and better products when they come out and they won't be able to have enough and wil never stop craving for bigger, better and newer products. children shouldn't be influenced and manipulated at this very young age, they should be playing outside, socialize and being educated and not a consumer victim at the age of 5. By not knowing what exactly it means to buy, spend money and own a product those children that are targeted will get a bad understanding of earning, owning and buying. On the other hand we live in a consumer world where our needs get mostly fullfilled by products which is debatable if it's good but thats how we work. So shouldn't those children be confronted with the true World at an young age the learn how to live with it. They could develop skills and a feeling at an very young age what advertisments really are and getting a better understandning of products and advertisments. In a faster grwoing world it seems logical that children should be confronted with the ups and downs and start to learn about them and how to  live with them. Nevertheless children should be allowed to be children to play learn and have fun and not being influenced by big companies at the age of four. What those companies do is brainwashing by using nice colors, sounds and children to play in the commercials. At this young age the Children don't have an understanding of what they're watching and that what they're watching should make them buy stuff. Because of this and many other reasons I highly discourage the advertisment of young children aged two to five.",0
3,"Brands use young children to sell their products. Children from age two to five are a good target,as their are innocent and it's easy to sell them something. As long as the advertisement is held in bright colours with some pop music, the children will pay attention to it. Children will see a new toy in television once, and they will think about it all the time. In the first place, the advert reaches the child in front of the television, but indirectly it is also sold to the parents, grand-parents, aunts etc. who are willing buy it. In the best case, someone will buy the desired toy and the advertisement fulfilled its purpose.   ",0
4,"First of all, it is very easy to manipulate the opinion of a child in that age. The advertisment could manipulate them and interfere with their raising. Kids a these ages dont know what advertismend is an could easely think, that everything in the advertisement is true, so that when they get the produkt they are sad that it is not as good as in the advertisement.
Also Kids should not get familiar with big companies to soon. Our world is all about companies and names these days and we should not raise our children in a way that supports this.
Children could also form grops and exclude those, that cant afford or dont like the toys in the advertisement.",0
5,I agree with this following statement. Because I see that the young children are vicitims from elder people who want only power over the children. Those advertising can influence their mind and how they will think and act later. Maybe the advertising is furious and scary. I also think that a young child doesn't need a advertising for chose his toys or dolls.,0
6,"First of all you can say that children aged between two and fived do not have that complex progress of will like we do as adults or young adults. They see the advertisement, like the toys that are pictured and with the next episode of Spongebob it is no longer interesting for them. Additional to that the children are not the ones who can buy these products in the normal stores because in the most cases they will only go shopping with their parents.
But actually advertisment that is driectly directed to the children can somehow influence them in their future consumer behaviour. The advertisemnt and the way the parents treat their childrens wishes could optimise or make their former consumer behaviour even worse. If a kid gets everything it wants, it will possibly buy everything it wants as an adult too and gets selfish. Additional to that there is some kind of social pressure. The parents of the children, who are directly confronted with the wishes of their children, probably can not afford the toys. The comparism kids do about toys puts a thirtend social pressure on the parents and could also be an indicator of wealth in society. The advertisement made for children is also kind of dangerous because children can be teached wrong moral rules or they can not estimate the symbolism or clishees the advertisement often uses.",0
7,"Young children don't really know what it means to buy something, they don't even know what money is.
When they see something in the televison, they want to have it, becaus the people who are using it are very happy. Children can't think of the future as we can (e.g. when the toy is broken or when they are too old for it). Money isn't important to them and they can't imagine what a specific price conectet with a product means, wether it's a fair price or not. They aren't able to connect all those things togheter.
Young children aren't allowed to buy things by themselves, so advertising directed towards them shouldn't be allowed. The parents have to buy all the things for them and they have to decide what they want to buy, not their children. Parents have to do a lot for their children. The last thing they want is an annoying son or daughter who wants someting unnecessary and expensive.
A reason against this statement would be that the people who make those television advertising have to pay a lot of money for that and that they somehow have to earn money with their business. It's a good strategy to advertise directly toward young children, because they are easy to convince and nobody can say ""no"" to such a cute little person.",0
8,"Nowadays there are many companies which advertise their products over the television. Many of those are advertisements about shampoos or a new parfume or something like that. A new trend which came up, is to advertise products toward young children. Most of them are toys. 
To tell whether it's  bad or good to do this kind of advertisement we have to list the pros and the cons.
One thing which would be in favour of the advertisements is that children get to know which products there are. They can tell their parents that they would like to have that new toy which they saw in the television. That would be a way how parents wouldn't waste money on things their children don't even want. Instead of buying their kid something that will never be used, they can make their child happy. 
Now that we talked about the pros, let's talk about the cons.
Many of the products advertised in the television are either useless or over-priced. The ""manipulate"" the children so that their parents will buy them the new toy. 99% of the time it's only about making money. The companies make their advertisements as cool as possible so that many children go to their parents and tell them that they want the product. It's hard for parents to say no to young children. They don't want the kid to be sad or to think that they're bad parents so they eventually just buy it. 
Children of this age can't decide whether they need this new toy or not. They see the advertisement in the television and decide upon that if they want it or not. Young kids don't ask themself if they will play with it more than once or twice. The part of their brain which is responsible for the critical thinking is not as developed as the brain of an adult. 
After talking about the pros and cons i would like to tell you about my own opinion.
In my opinion advertising toward young children is another way for companies to make money off of young children. I do think that it shouldn't be allowed since it either has as a result that kids are mad at their parents or that parents have to waste their money even if they're living from hand to mouth. Many young couples which have young children don't have that much money to buy their kids every expensive toy they see on the television. It doesn't really have a good side for the parents. The problem is that economie doesn't work like that. Money is all that it is about.",0
9,"In conclusion it can be clearly said that the advertising tries to influence the young children to make them dependent to their products. This is not good at all because we all are being influenced by something we don't want to, which is sort of doing harm to someone. The young children can't do anything against this process and in my opinion this is where also the profit-organized businesses should stop.",0
10,,1
11,,1
12,,1
13,,1
14,,1
15,,1
16,,1
17,,1
18,,1
19,,1
20,"Many parents said that television advertising directed toward young children (aged two to five) should not be allowed. There are many reasons which are supporting these statement. It could be helpful for young children if television advertising should not be allowed. In the following, I will explain my point of view.
However, television advertising is an entertainment for everyone, it does not matter which age you are. It is mostly better than sitting around and be bored. But there is also an other important point. Young children could use television advertising to learn something.
There are not only positive arguements, but also negative aspects.
First, television advertising is mostly unhealthy for young children. For example they can get very sick and they cannot get any friends if they are television advertising. But there is also an other arguement which do not support the statement. Children have to make expiriences in the world, and television advertising do not bring any important expiriences. 
At last, television advertising directed toward young children (aged two to five) should not be allowed. The health of young children is too important and television advertising could be like a wall between the children and the society. 
",2
21,"In the following text i will comment the statement that television advertising directed toward young children should not be allowed.                                     
First I give you some points to disagree with this statement. Most of the children aged two to five will watch tv everyday so it does not matter if they are watching advertising made for them or not. Furthermore it is even better that they have advertising for them instead of watching some durex advertising or something because that might hurt their brains more than the new Winnie Pooh Bear or something else.
Otherwise it is not really positive to show the children that much television because they should do something outside and not watching tv the whole time. So the children allready watch that much tv that they should not also have some advertising which might addict them to buy something or saying their parents that they need to have this otherwise they will be bored for sure or something like this. So it should not be the aim of the parents to let their children watch tv the whole day and if there is advertising not directed to them they will have not that much interesst to watch tv so they do not watch that much tv automaticly.
To put it in a nutshell i think that there are pretty much opinions for the advertising directed to young children and today it might be usual that young children watch tv not like twenty years ago when everyone want to go out and play football or something and furthermore it is propably not the best idea to connect the advertising to young children because they should not get addicted from tv that fast. They should still have the chance to have a nice growing up without that much tv and playing outside or something, of course the time has changed and without electronic hardware there is no life but in the young ages you do not need this to have fun.",2
22,"Television advertising directed toward young children is a controversial topic. Some people think it is okay at the age of two to five, other people think it should not be allowed. In the following text I will give reasons for and against it and tell you my opinion about this.
One reason for that advertising could be that children get in contact with the medium at a young age. Like in today's world they grow up with such ""influence"". A reason against it, which is mentioned often, is that children, especially young children, will become numb because of the huge influence that the TV and, not only but surely, advertising have. Another reason against it is that the parents of the child should have the control over what they buy for it. Of course they should look at the wishes of their child. On the other hand there are things being advertised which are not suitable for a child and these wishes should not be accepted. A reason for the early advertising could be that the children can specialise themselves on what they like and what they do not like.
All in all I think there should be this form of advertising. It does not harm the children. In addition the parents need to have the control over what their children are watching. Not when they are older but at this young age.    ",2
23,"Television advertising dircted toward young children should not be allowed. I really agree with this statement and I will show you the reasons in the following text.
A boy watch television and after every thirty minutes there comes different advertising for ten minutes. The young boy ,who is just two to five years old see the advertising and that ist not very good. At first he will be influenced with five years or lower. That could be very bad for his following future. For example: He watchs very often TV and because of that he realize all the new products, which he always want to buy. 
The advertising for young children is very attractive for them, because there they show the young children new ""Barbies"" or anything else. The hypothalamus, the most important thing of the head, of the children is not completly produced. So they can not devide between the advertising that is good for them and the advertising that should manipulate them. 
Arguments against the advertising toward children are in the following text. A young child, aged two to five, should not watch television. And if they don't watch television they won't be influenced. So in my opinion the parents should have a look on their children and control they media life of their child.
The reason of advertising is that it should make the people buy these things in the supermarket for much money. ",2
24,"Some people think that television advertising directed toward young childeren should not be allowed. They say that advertising for children aged two to five leads to a more developed TV programme for kids and thus also a higher risk for television addiction. If a child for example watches TV where there are lots of brakes with boring advertising for adults, children will be more likely to stop watching TV. But if there are lots of advertisements which kids are interessted in, they won't get bored as fast so they'll keep on watching TV. The opponents of television advertising for young children are concerned about more children spending their time watching TV instead of playing outside which is important for the developement for a kid. These people also fear that children will get more unhappy through advertisment. They think that it is very important especially for little kids to learn to be happy with what they have rather than to experience a lack of consumption goods.
Others say that television advertising improves a child's developement. They think that it's better for  children to see TV advertisments for their age than adult advertisements. These people also say that child advertisement will lead to a better economy because more kids beg their parents to buy them the products and toys that they had seen in TV.
In my opinion television advertisement for children should be prohibited. I think that it is important for children to learn to be happy with what they have than to experience a lack of something. I also encourage kids to play than watching TV and I am afraid that television advertisment for kids will lead them to get more used to watching TV.",2
25,"In the following essay I want to point out my opinion towards television advertising addressed to young children.
Almost every household has an televison in the 21st century. Advertising is getting more popular because it is an easy way to influence the society. The impact of advertising is a controversial topic in our community.
Television advertising directed towards young children should not be allowed because children are not able to understand the impact of most of the products. Some of them could be harmful and children would get addicted to things which are not good for their development. On the other side even young children have the same rights than parents. They are all potential buyers in the future and ,well, watching advertisment doesnt imply buying this product. Maybe this specific advertisment helps young children to find out what they are going to wish for their birthday. First of all I have a general question. Are young children aged between 2 and 4 interested in watching television? I donÂ´t think so. On the other hand it is proofed that advertisement influences a buyerÂ´s decision. At an age of 3 children should not be confronted with advertisment because they should better go out and play with their freinds. It is also morally questionable when companies try to benefit from children. If advertisement directed towards young children would be allowed young parents who alredy got a low budget had to explain their children that they are not able to buy this product. This disappointment is not good for a young character.
If this kind of advertisemnt should be allowed we would definately need a law and an nutral institution that controlls this law. How sould it be possible for this institution to decide wheater this product is directed towards children at an age of 5? It is just logical that companies would say that their product is made for people at an age of 6 but it can also be used by younger children.
Overall I thing that television advertisement directed towards young chiildren shouldnÂ´t be allowed becuase of the mentioned facts.",2
26,"A controversal topic nowadays is television advertising. Some people think, that television advertising towards young children should not be allowed. In the following I will comment on that topic. 
Firstly you can say, that these advertisments, towards young chilren, offer the producer a bigger frame of costumers. Often advertisments are directed towards adults or teens, so that they buy certain products, but also if an advertisment does not catch an adults or teens attention, a young child can influence their parents to be interested in that special product, so that they look at it again.
Furthermore especially young children are easy to influence and so they believe everything said in the advertisment. They do not have as many life experience as their older siblings or parents and so they believe especially people, who seem trustful, alot and when it is a good advertisment they can get influenced by it very much.
Young children at the age from two to five should not be allowed to watch television or television advertesments. In the age of two to five they should play outside with friends. They should not sit inside and watch television alot, perhaps in the evenings, the children program, but there are no advertisments in these special shows for young children.Television advertisement can influence their personalities in wanting everything. Young children, who watch much television or television advertisments can get badly influenced by these, because they often tell you, that you should definitly buy the product and so their character can get influenced in wanting everything.
To sum it all up, I would say, that these television advertisments towards young children should not be allowed, in the reason, that it could influience their life in a bad way, and noone wants that for their child.",2
