,text,cluster
0,"""Should it not be allowed to produce television advertising directed toward young children at the age between two and five?"".",6
1,"On this question is based the following text, which shows advantages and disadvantages  including my personal opinion.",8
2,"First, the main time a person is watching TV is during the evening.",7
3,Some people also watch a movie after lunch while they want to have a short sleep.,7
4,"At this times a child aged two to five even sleeps too or it is playing with friends, so that the child can not see advertsisings.",2
5,"However the television can be nessecary, because some kids have an evening routine in which they watch one serie of their favourite movie 
and afterwards they go better to sleep.",3
6,But during such a movie there is not more than one time advertising.,5
7,"The most children are not interested in this advertsing and do not watch them, so that it is unnessecary to produce television advertising directed to young children, then they do not see them.",2
8,"The most important argument is, that children aged two to five will never understand television advertising even if you show toys or pets, because they do not know the reason of advertising.",2
9,"At my own opinion I will say, that television advertising for young children can be allowed, but it is not nessecary, because they do not watch much films .",6
10,Besides they do not care about the advertising and would not understand the background reasons for it.,5
11,"In the following text, I`ll discuss the statement about the programm of television, which is directed to very young children by the age of two to five.",3
12,"For me itÂ´s an important theme to talk about, because the medias in our time can be very dangerous for the developement of children and also teenagers, but in this moment the age of the young chldren is important for the statement.",4
13,"I think, television is something, which is fun and free time for you, but it also can change your opinion about some topics and meanings, which you have.",3
14,"Young children are very influenced by everything,which they see and hear, so the television can be dangerous or bad for them, but it can be allowed to cut them from the medias, but itÂ´s not the right way, I think.",3
15,"ItÂ´s better to show them, how to handle with television or games or something like that, because the children are learning for their lifes and not just for the moment.",4
16,"In the statement, itÂ´s described that very young children, from the age from two to five, should not watch television and for me it has something true, because in the age of two or three years, you should not watching televeison.",3
17,"A little kid should play with its toys and parents and not watch televison the whole day, because it can be a negative point in its developement.",3
18,"But I think, you canÂ´t say no with a law, so itÂ´s difficult to handle with this topic.",8
19,"A solution can be, that the parents of the children have to handle right with this topic, because itÂ´s important for their children and their developement.",9
20,"Older children, like with the age of five or six or elder, it is of course right and possible to watch television with a time, which is given by the parents, so that the cildren can watch a serie for one hour and then itÂ´s finished for this day.",3
21,"So all in all, I agree at some parts with the statement, but not at all.",8
22,"The main thing, that is important is the bad influence by television for too young children, so it could exists problems in future, which are developed by the television.",3
23," For the question, if the advertising directed toward young children shoul not be allowed, you can think on some opinions for and against it.",6
24,The television advertising is sometimes very funny and beautiful for the kids.,2
25,So they can lough and be happy.,9
26,"They show some carracters that show the kids how they can do something, and the children are learning something.",4
27,But also there are some advertising that arenÂ´t very helpful to show children how they can do something or they can behave.,2
28,"Sometimes the children learn something, they shouldnÂ´t learn.",9
29,"A situation for example for this is when a child is sad because another child took his car for playing away, so the kid is really sad and donÂ´t know what he could do.",9
30,"He saw an advertising where this happend and the solution was that the child hurt the other one, and that is not ok.",9
31,"In reallife the kid who is sad, because he want his car back, knows that he can hurt the other one to get his car.",9
32,So itÂ´s not ok to show them this kind of stories because they learn from it...,9
33,They should show how to play a game or to take part in other plays where he can play with other children.,4
34,Also I think that children who are at the age of two to five shouldnÂ´t be allowed to watch tv because itÂ´s not good for their eyes.,3
35,ItÂ´s better for them to play in the kindergarten or to play with their mum.,4
36,"There are some little things that could make them happy... for axample spending time with their mum, so they can build a better feeling for each other, because they get to know each other better.",0
37,"How I said in the begining there are some funny and beautiful advertising which make the children smile and be happy, but I think that they can do other things for being happy.",2
38,"So all in one I think that the Television advertising should be allowed, but those who make the children learn something they shouldnÂ´t learn shouldnÂ´t be allowed.",6
39,So the advertising should be controlled by some people that know what is right for children aged two to five.,2
40,The following text is about the named statement.,8
41,Television is today more impportant than in the past.,3
42,In the past the children go outside an play with other children.,4
43,So its different than today.,8
44,Most of children watch television so they are at their own.,3
45,I disagree with this statement because young children aged of two to five should be learn to play with other children at their age.,4
46,When they look tv the children are independent of this media so they can't live without watching tv.,3
47,So the children should be play with their parents or with other children because they aren't be alone and also they meet new people.,4
48,The reason is that they are in contact with others and that's better for their future.,9
49,It ist so important because later they can meet new friends easier than without playing with others.,4
50,The children without playimg with other children don't know the contact with others.,4
51,So the relationship to other children is better when the children play with other children.,4
52,An arguement could be that the television shows pograms which aren't good for young children.,3
53,Also the pograms are for older children (aged seven).,0
54,Many pograms aren't real but the children watch them and think they want do the same.,0
55,So the television isn't real.,7
56,Many pograms could be dangerous for young children so they dreams bad and that's not good for their little life.,0
57,Much peeple say that television is good for their future and it's is the real life b ut it isn't it.,3
58,The shows are played of actors who leatn their text and then play it for the camera and the pproducer.,7
59,So it isn't the real life.,8
60,"""The children can learn of watching tv"" That isn't right because the children learn more in playing with toys.",4
61,Beside they learn the rules of their parents and they know in which their are allowed to something and what it isn't allowed to do.,9
62,So the children should'nt watch television because they are things which are better than that.,3
63,Also the independence of watching television is tall so later when they are older they want watching tv all the time.,3
64,Then they don't meet friends or do a hobby.,8
65,The age of two to five is the most important time of the life of a children because they learn so much about the life and deleope in a fast time.,4
66,The developement of a child in this age is,4
67,"There are arguments for and against the prohibition of television advertising directed toward younger children, which I will summarize and analyze in the following text .",6
68,"First of all it is well-known that little children are heavily influenced by their surroundings, so that they can get manipulated easily as well.",9
69,"This can be used effectively by television advertisements, which portray them a false picture of reality, causing children to ask their parents for things they don't actually need.",1
70,"This is often the case with toys, that are shown to be really fun in advertisements, while in reality they often are quite lame.",0
71,"Additionally children can't even realize, when they are getting baited by a company, so that it is up to the parents to explain why a particular product is not as good as portraied in the TV, which most of the time can't be understood by children, which might lead to some sort of unhappiness.",1
72,"Nevertheless one can argue if this is reason enough to prohibit advertisements directed toward young children, since it would be pretty hard to establish.",6
73,"Nowadays it is common, that even little children spend some time in front of the TV and since there has to be some sort of advertising between two shows that are made for children, it wouldn't be too clever to put something in there, that isn't directed toward children as well.",2
74,"Furthermore there are some advertisements that might have a positive consequence on children, for example if an ad promotes physical activity, like going outside and playing with friends, although this is quite rarely the case.",2
75,Eventually I think that it really depends on what sort of advertisement it is and what product is getting advertised.,5
76,"As for the previous example with toys: if a false picture of the toy is portraied, to bait consumers into buying, that is obviously not the right way to do it.",5
77,"However an absolute prohibition is, in my opinion, nearly impossible to to happen, because TV companies have to earn their money and companies that produce shows for children are no exception.",3
78,"But as just mentioned, it's the quality of the advertisement that really matters, thus instead of wanting to prohibit them all, one should rather ask for more appropriate ads, that don't damage young children in any way.",6
79,The following essay deals with the question wether telivision advertising directed toward young children aged two to five should be allowed.,6
80,For children the ages two to five are the most important year of development.,4
81,They learn speaking and walking and a lot of other important things.,4
82,The young children should play outside or do other stuff than sitting in fornt of a television and watch some strange series.,3
83,Later in life they'll watch a lot of tv and in childhood they shouldn't spend their time with this.,3
84,"If they watch series for example the ""KrÃ¼melmoster"" they may have the same ideas as the actors and do things they aren't allowed or get hurt while doing this.",7
85,The development in this young age is very importent.,4
86,"One can't really tell them what to do ore not, they will experience this themselves.",9
87,But without watching TV they will meet some friends and are outside in the natur.,7
88,They create other ideas without the influence of television.,7
89,They get social contacts which they can't make if they only spend their time infront of the TV.,7
90,For example I got to know my best friend with the age of 1 because our mothers are friends and we only spend out time outside and played with the dogs or by bad weather we built thing and played memories.,4
91,We weren't allowed to watch television and later the only thing we watched was the sandman.,7
92,This only goes ten minutes and was nearly before our bedtime.,7
93,"The age of two to five is the time for children in the kindergarden and there they learn how to behave with other kids, so it's important not to destroy this at home.",4
94,In my oppinion television advertising shouldn't be allowed.,6
95,Television advertising directed toward young children should not be allowed.,6
96,With this statement the following text is occupied.,8
97,IÂ´m going to compare advantages and disadvantages.,8
98,"An arguement, why children should not be allowed to use Television with the age of two to five is, that they are to young to understand a lot of things, which are told there.",3
99,"Parents should make sure that their children grows up with things, which are important fot theier future.",9
100,"For example, children with the age of two to five should reed some books or play games like football.",4
101,"Also they could draw some pictures or learn, how to spell theier names.",4
102,"If children with young age only watch TV, they will do this also with older age.",3
103,"An advantage is, that a children with young age often has to be alone, because the parents have to work the whole day or must have to do something, where a little children is not usefull.",4
104,"Than they could watch TV, with the result that their fixed on the Television.",7
105,"Also if a children watch important politically soaps earlier, it grows up with a better knowledge of the important things of life.",3
106,But it does not make sense that a young aged children is able to get important information.,9
107,"A young children with the age of two to five has to learn the calours or how to differences animals with other animals, for example.",4
108,"It is better to show them books with a lot of picures than to let them whatch TV .Young children should also play outside with friends, because they have to learn the difference of the real world and the world that is showed by the medias.",3
109,"As a result I agree with the statement, because there are a lot of disadvantages and only a few advantages.",8
110,"I think there are a lot of more things, children with young age could do much better than watch Television.",3
111,"In my opinion, children, who look at pictures or learn the colours with young age have a lot of knwoledge more than children watching TV.",3
112,Television advertising is often directed to certain groups of people.,5
113,One of them are children who are between two and five years old.,0
114,There are some people who say that this kind of advertising should not be allowed.,5
115,In the following I will present my opinion on this topic.,8
116,In my opionion there are two sides to this statement.,8
117,I can agree with the people who are saying that this kind of advertising should be forbidden.,5
118,Children who are that young don't know how to compromise it.,9
119,"The ads are making everything more colorful and brighter, and they do not necessarily show reality.",5
120,The children really want to have the product and might annoy their parents until they buy it.,0
121,It's also not fair of the marketing people.,5
122,"They use young children, who might never had contact to any kind of media before, just to make money.",2
123,"They know exactly what the children want and they use this knowledge, just to make themselves richer.",9
124,"But on the other hand, there are some reasons why I disagree with this statement.",8
125,"Even if the child really wants the product that was advertised on TV, the decisions if it's bought or not will be made by the parents.",2
126,The child can't just buy things on its own.,0
127,"The role of the parents is another reason, why I think commercials should be allowed: the parents can decide when and how often children watch TV.",6
128,And it is their decision if they want a two- year old boy or girl to watch TV.,3
129,The other reason why it should be allowed is one simple thing: you can't hide advertising.,5
130,"Sooner or later the kids will be confronted with ads, and it could be good to let them know early enough that it is out there.",2
131,When they become older they will know better how to handle advertisment.,1
132,"Children will know, that they can't have everything they want and that not everything is like it is in TV.",4
133,"The things shown in the commercials aren't reality, but it is the reality that commercials are out there in real life.",5
134,"And if TV advertisment towards children isn't allowed, commercials in magazines, on the radio and especially on the Internet shouldn't be allowed as well.",6
135,"Children get a phone earlier every generation, and with that they have the connection to everything that is out there.",4
136,And the internet is even harder to control than TV.,7
137,One decision must lead to other decisions as well.,8
138,"All-in-all I say, that I disagree with the ststement ""Television advertising directed toward younger children should not be allowed"".",6
139,The parents have the chance to decide what the child does and what is bought in the end.,9
140,"And children will  be confronted with commercials anyway, it is not just on TV.",2
141,Should advertising toward young children be allowed?,6
142,In this essay I will show off the advantages and disadvantages of this topic and comment on it.,8
143,Of course it is interesting for a little girl to watch TV and see a doll in the advertising that wants to play with her.,0
144,"But what if the mother of the girl is so poor, she works everyday to be able to buy food and has no money for that doll?",0
145,The girls wants the doll so bad that the mother doesn't know how to react.,0
146,"The doll can even talk and dance, but that is why she is so expensive.",0
147,Now imagine the girl never saw this advertising.,5
148,She wouldn't talk about this doll and her mother wouldn't be in despair.,0
149,In my opinion advertising toward young children shouln't be allowed.,6
150,Children don't earn money and can't buy things on their own.,9
151,Many children spend too much time on watching TV.,3
152,People go working and people have families.,8
153,Sometimes it is hard to connect working and having a family.,8
154,"Exspecially if a mother thinks, that she can't make her daughter happy because of not buying a doll she saw while watching television advertising.",9
155,The following text discusses the statement if television advertising directed toward young children in the age of two to five should be allowed or not.,6
156,"Imagine, young children sitting infront of the television.",7
157,If those young children see advertising for the necessary or the right stuff it might be usefull that they watch this advertising.,2
158,Although they are directed toward the children the ads can be usefull for the parents.,2
159,But on the other hand they are just kids and so they would be totally influenced by this.,9
160,Even adults are influenced by advertising because it sticks to your mind and you can't influence which advertising you watch.,2
161,So young children who aren't grown up at all would be victims of those advertisings.,2
162,Furthermore if the parents don't control their kids they watch many of those ads so that in the end the children have a complete wrong view of the reality because they think thst those ads show the reality.,2
163,"In my opinion, I would forbit those ads because I think that children should grow up without all the influence and should do other stuff then watching the tv.",2
164,"So, I as a mother, would not want that my kid watches all the ads which show my kid a different way of the reality.",2
165,Did young children bacame addicted to modern technic?,4
166,In the following text I am going to discuss the question and will give my own opinion about the statement wether television should be allowed to young children or not.,3
167,I recognised that many children grow up  different since I bacame older.,4
168,"Some of them does not know the old classics like playing outside ""I build my one garden"" or games which have to do with fantasy and your own imagination.",0
169,They replace their imagionation with a cartoon instead of thinking on their own.,7
170,I think it is important that you as a parent support the devolpment of your child.,9
171,Many young children are not really recognised by their parents.,9
172,Instead of spending their time with them they make their life easier and put them infront of a television.,7
173,"I know that it is not easy to raise up a child, but you decided wether you can handle the stress and work or not.",9
