,cluster,Sentences Count
0,0,8
1,1,37
2,2,3
3,3,1
4,4,45
5,5,24
6,6,9
7,7,1
8,8,1
9,9,36
10,10,7
11,11,14
12,12,6
13,13,1
14,14,8
15,15,31
16,16,1
17,17,13
18,18,13
19,19,14
20,20,6
21,21,34
22,22,7
23,23,8
24,24,8
25,25,22
26,26,19
27,27,27
28,28,17
29,29,22
30,30,6
31,31,1
32,32,9
33,33,29
34,34,11
35,35,29
36,36,12
37,37,15
38,38,7
39,39,15
40,40,3
41,41,13
42,42,2
43,43,56
44,44,1
45,45,47
46,46,42
47,47,35
48,48,19
49,49,31
50,50,12
51,51,13
52,52,10
53,53,18
54,54,14
55,55,6
56,56,5
57,57,7
58,58,50
59,59,6
60,60,8
61,61,36
62,62,37
63,63,5
64,64,14
65,65,31
66,66,7
67,67,57
68,68,16
69,69,1
70,70,13
71,71,2
72,72,1
73,73,2
74,74,22
75,75,4
76,76,1
77,77,13
78,78,59
79,79,2
80,80,5
81,81,1
82,82,4
83,83,1
84,84,4
85,85,1
86,86,1
87,87,8
88,88,1
89,89,1
90,90,1
91,91,25
92,92,11
93,93,29
94,94,1
95,95,1
96,96,8
97,97,1
98,98,12
99,99,54
