,text,cluster
0,Thats the way many people think about the influnce of media like televison on young children.I dont think it should be not allowed but i am not the opinion that its positive for them.,0
1,I think that the channels should not be too influenced by that and that the always have to keep an eye on their children to prevent them from seeing something bad.,0
2,Besides should the media not be directed to so young kids.,0
3,"But I think televison advertisement towards young children cannot be forbidden, because we live in a democratic state, where everybody can publish, what they wrote or filmed.",0
4,But when televison advertisement towards young children is not allowed it doesnÂ´t stop that young children can be manipulated very easily and want most of the things they see.,0
5,"My opinion to this topic is, that televsion  advertising directed to young children should be stopped.",0
6,Also I think that parents have to told their children that it isnÂ´t everything real what they see on tv.,0
7,Television should not be allowed for young children because they would see pictures they don't understand and which are not made for young childs.,0
8,"Young Children should not watch too much television anyways, so the parents have to control what their children watch.",0
9,So the companies make much money with these advertising especially at chrismas time.,1
10,"Without the ad about it on television, they maybe would have never known that this special thing existed in the first place, and if the parents decide to give it to them for birthday or christmans, the child will be very happy.",1
11,Otherwise young children can learn many things just with watching TV.,2
12,But often young children can learn something by watching television.,2
13,Nowerdays childreen spend lots of their time watching television.,2
14,"However the television can be nessecary, because some kids have an evening routine in which they watch one serie of their favourite movie 
and afterwards they go better to sleep.",2
15,On the other side it could be an advantage for the children to wtach TV even at a so young age.,2
16,When they look tv the children are independent of this media so they can't live without watching tv.,2
17,So that Television is an important source for young children for preparing their future life.,2
18,"So in this important time for a child to grow up and learn things they should do it without TV, because it's an lonely live with just watching TV and they need the social links.",2
19,Television is a too important factor of the life of a young children.,2
20,"First, television is not good for young children, and many of these young children aren`t even allowed to watch TV.",2
21,my generation ist i think the last who doesnt have phones or something in teir childhood we play outside with our friends and doesnt text over facebook or snapchat.,3
22,All of the younger generations are often seen as the generation of the internet and social media.,3
23,The only generation is the elders generation whom are not used to technology at all.,3
24,"Children get a phone earlier every generation, and with that they have the connection to everything that is out there.",3
25,So the snetence above is mostly to hear form the older generation.,3
26,I'm from the generation where the media got important.,3
27,Now a days a television and the outraging development of the technology is very normal to the young generation and there parent generation.,3
28,The next generations will grow up with this media like its for them such a normal thing.,3
29,But many children nowadays also watch more television instead of playing with their friends.,3
30,"Another good thing about the advertising is, that also the parents see them and might find new toys for their kids.",4
