,text,cluster
0,Sie haben dafÃ¼r 30 Minuten Zeit.,0
1,Sie haben dafÃ¼r 30 Minuten Zeit.,0
2,Sie haben dafÃ¼r 30 Minuten Zeit.,0
3,Sie haben dafÃ¼r 30 Minuten Zeit.,0
4,Sie haben dafÃ¼r 30 Minuten Zeit.,0
5,Sie haben dafÃ¼r 30 Minuten Zeit.,0
6,Sie haben dafÃ¼r 30 Minuten Zeit.,0
7,Sie haben dafÃ¼r 30 Minuten Zeit.,0
8,Sie haben dafÃ¼r 30 Minuten Zeit.,0
9,Sie haben dafÃ¼r 30 Minuten Zeit.,0
10,Especially when the advertisements look just like or are even about TV shows for young children.,1
11,"With my TV programm, i can skip the advertising because it is so enoying.",1
12,Also it is not a big use to show cildren these adverts because only a minority will remember them or unterstand them especially if they are two years old how should they know what they are watching.,1
13,If the advertisements show bad things such as violence or things which are easy to understand they should not be allowed.,1
14,If they wouldn`t make the advertising there would also be other advertising young children could see.,1
15,And sometimes an ad shows things that children shouldn`t see.,1
16,"Every time we turn on the television we can watch a lot of interesting films, but also a lot of advertisments.",1
17,That's why I think that for young children should be forbidden to watch advertising.,1
18,"With all normal TV chanals come advertisements, usually for the newest beauty product or a nice car and most of us don't think twice about it.",1
19,Children are watching tv at a very young age these days and no doubt that they find tons of ads there.,1
20,On the one hand children of the age two to five shouldnt be watching too much TV anyways as it isnt ideal for their age group.,2
21,"In the end I personally think that it is okay to let young children watch television, if it is not too much.",2
22,In my opinion children in the age from two to five shoulden't watch television anyway.,2
23,I think a child of the age two to five shouldn't be wathcing a lot of television anyways.,2
24,"Second of all, in my opinion, children aren't supposed to watch TV at all, exept for some films a month or rarely some PokÃ©mon or similar series.",2
25,"I think, children generally shouldn't watch television a lot.",2
26,"So in my view the young children in the age of two to five should not watch TV they should do other (importanter) things in their life, which they only can do in the young life to play outside with friends and something like this.",2
27,"Well I think first of all, children that are younger than five years old should not be watching TV at all, because for several reasons it's not good for their personal development.",2
28,In my view young children aged two to five should may watch television but it have to be regulatged by the parents.,2
29,"All in all, I think it is the own problem of the parents if they let watching their children tv in such a young age.",2
30,A lot of people say watching television has a bad influence on children.,3
31,Many parents are concerned that television is not good for their chldren.,3
32,Depending on what children watch in the television it can influence their life and behaveour in a bad way.,3
33,In the media we can hear from time to time that the consume of television is not good for the developpement of young children.,3
34,"Like already say, I see definatly problems when childrens spend to much time watching television.",3
35,It is scientifically proven that TV is not good for young children and can really hinder their development.,3
36,"So all in all Television in the young age isn't that bad, the parents of the children just have to look, that the kids don other things, like meeting friends and play outside.",3
37,It is not good when young children watch too much television.,3
38,"I think that television has its good and bad sides, but for younger children television is often a problem.",3
39,It can lead to problems when the children become older because maybe they see the world with different eyes due to the advertising in TV.,3
40,Ihr Text wird anhand unterschiedlicher QualitÃ¤ten beurteilt.,4
41,Ihr Text wird anhand unterschiedlicher QualitÃ¤ten beurteilt.,4
42,Ihr Text wird anhand unterschiedlicher QualitÃ¤ten beurteilt.,4
43,Ihr Text wird anhand unterschiedlicher QualitÃ¤ten beurteilt.,4
44,Ihr Text wird anhand unterschiedlicher QualitÃ¤ten beurteilt.,4
45,Ihr Text wird anhand unterschiedlicher QualitÃ¤ten beurteilt.,4
46,Ihr Text wird anhand unterschiedlicher QualitÃ¤ten beurteilt.,4
47,Ihr Text wird anhand unterschiedlicher QualitÃ¤ten beurteilt.,4
48,Ihr Text wird anhand unterschiedlicher QualitÃ¤ten beurteilt.,4
49,Ihr Text wird anhand unterschiedlicher QualitÃ¤ten beurteilt.,4
50,"
On the one hand children can get influenced negatively from the advertisement, for example from advertisements which shows the ideal of women or men.",5
51,"A big point against the advertising is, that children get influenced by advertisings and even more if they're young.",5
52,Therefore advertising could have bad influences on the childrens minds.,5
53,"On the other hand, advertising can influence young children.",5
54,"But considering that advertising is very influencial it does not seem to be a positive aspect for it is known, that young children can be influenced very easily for they do not have developed an own opinion yet.",5
55,"Many people are convinced, that advertising might have a negative influence towards children.",5
56,"In this young age the children do not know what is good or wrong all in all, so advertising directed to children can change their opinion, mind or development.",5
57,But actually advertisment that is driectly directed to the children can somehow influence them in their future consumer behaviour.,5
58,"First and foremost, a child does not have the ability to understand that advertising is just a means to sell a product and can therefore be strongly influenced by advertisements.",5
59,Under the impact of advertising children can get a wrong image of things which can have a harmful effect in their future.,5
60,I think the parents of the children have to take care what their children see and of what kind of things they should be influenced.,6
61,They now that the children could influence their parnts quite much.,6
62,"That view can cause conflicts between the children and the parents which can, in worst case, loose their control.",6
63,Furthermore I think that the parents should be responsable enough to look after their children.,6
64,On the one hand the small children should get to know the real world and how it works since the moment they were born.,6
65,The children can not dicide on their own want the want to do.,6
66,"And if there is something what the children want, the parents shouldn't allow everything.",6
