,cluster,Sentences Count
0,0,1
1,1,1173
2,2,863
3,3,307
4,4,488
5,5,983
6,6,669
7,7,811
8,8,694
9,9,726
10,10,164
11,11,403
12,12,583
13,13,523
14,14,3
15,15,330
16,16,390
17,17,408
18,18,489
19,19,718
20,20,1012
21,21,145
22,22,164
23,23,1198
24,24,238
25,25,902
26,26,383
27,27,831
28,28,223
29,29,383
30,30,1
31,31,691
32,32,1039
33,33,408
34,34,620
35,35,1695
36,36,567
37,37,343
38,38,934
39,39,471
40,40,792
41,41,581
42,42,227
43,43,448
44,44,735
45,45,431
46,46,587
47,47,252
48,48,595
49,49,377
50,50,168
51,51,434
52,52,350
53,53,163
54,54,1051
55,55,1283
56,56,1093
57,57,616
58,58,558
59,59,855
60,60,1
61,61,407
62,62,441
63,63,658
64,64,1
65,65,832
66,66,289
67,67,342
68,68,817
69,69,357
