,text,cluster
0,On the one hand children of the age two to five shouldnt be watching too much TV anyways as it isnt ideal for their age group.,0
1,"So all in all Television in the young age isn't that bad, the parents of the children just have to look, that the kids don other things, like meeting friends and play outside.",0
2,"All in all, I think it is the own problem of the parents if they let watching their children tv in such a young age.",0
3,"I think, children generally shouldn't watch television a lot.",0
4,This is more a parental point of view: kids should not spend too much time in front of the TV.,0
5,"Of course the children shouldn't spend too much time in front of a TV, but that's the thing parents should be keeping an eye on normally.",0
6,"On the other hand itÂ´s reasonable, why childs shouldnÂ´t watch television anyway.",0
7,In my opinion it`s no good to let children watch TV.,0
8,"First of all I like to mention, that in my opinion children in the age from two to five should not even be allowed to watch TV at all.",0
9,"Second of all, in my opinion, children aren't supposed to watch TV at all, exept for some films a month or rarely some PokÃ©mon or similar series.",0
10,Advertising can not only be found on television but all over the place.,1
11,Television advertising is a very big theme in our society today.,1
12,A big part of today's television is advertisement.,1
13,Television advertising is a very common topic in daily life.,1
14,Television advertising is something we live with in our every day life.,1
15,In today's society advertising is a big part of television.,1
16,Television advertising plays a big role in our life.,1
17,"Through television, people are confronted with adverts all the time.",1
18,TV advertisement and other advertisements are found everywhere today.,1
19,Television advertising can have a big influence to people.,1
20,Watching television is nowadays a very big part of a childrens life.,2
21,Nowadays young children spend a lot of time watching television.,2
22,Nowadays watching television is part of the everyday life of children.,2
23,Nowdays a lot of young children watch television.,2
24,Nowadays most of the younger children in our society are growing up with televisions surrounding and entertaining them.,2
25,"Many people watch regularly television, also young children.",2
26,Nowadays nearly every child watches tv at least once in a while.,2
27,Nowadays millions of children are watching television every day.,2
28,Now-a-days even young children watch television quite often.,2
29,Young children tend to spend more and more time in front of the television in this day and age.,2
30,The same with the advertisement for kids the company shows them toys and present them even better than they are with effects which stimulate again the brain of the kid so that the kid wants the toy.,3
31,"When a advertising shows up, it's mostly an advertising of toys and dolls and other stuff children likes.",3
32,"And if children see the ad, they might want watever is shown in there.",3
