,text,cluster
0,my opinion to this topic is that televsion  advertising directed  should be stopped,0
1,so it may occure the question whether tv advertising  aged  shoud or should not be allowed,0
2,i am agree with this statement because the televison advertising have many negatives effects,0
3,in the following essay i will show negativ reasons and examples for the statement  television advertising  should not be allowed,0
4,first of all i would say that it would be difficult to stop televison advertising which is  in the ages ,0
5,nowadays advertisments are everywhere and anyone watches tv,0
6,television advertising  should not be allowed,0
7,in the following text i will inform you about television advertising,0
8,in the television is so much aadvertising like never before and even small children watch television,0
9,in the following text i will discuss the controverse theme if television advertising  should be allowed or not,0
10,forthermore the childrens often dont need the object,1
11,for example children do not need their own playstation when they are really young they do not know that it is unhealthy if they use it too much for example that they get problems with their eyes et cetera,1
12,in the modern world many children grow up with a lot of technical devices,1
13,furthermore there would be some children who want to get everything they see on tv and for poor parents it would be really difficult to explain why their friends already own these things which seem to be important,1
14,if they always want more toys the parents maybe will follow their wishes to make their children happy and make these wishes come true which can lead to the missing abilities mentioned before,1
15,but children believe the promises of the advertising industry and if the parents buy the toy for them they will be really unhappy,1
16,then the parents can simply buy the object,1
17,on the other hand if the parents take care of them and pay attention the children will not get any problems but they will have fun with their new toy or other things,1
18,first you should allow this kind of avertising because it helps the parents to buy things which fit with the specific wishes of their children,1
19,the parents dont like to see their children cry and they bought the object for them,1
20,but often young children can learn something by watching television,2
21,furthermore more many child series and movies on tv teach many life lessons so that the children will be prepared for life and their social life,2
22,my second reason is that this kids should not grow up with a television because if they look tv at the begin of their lives they could focus their future to look fluently and hours after hours tv and so they would  not focus on there future work lives,2
23,watching tv in these ages can also be discussed whether itâ´s good for them,2
24,in the end i can only say that television is a big part of our lifes now a days and that children in the age 25 must be allowed to interfier with that,2
25,actually that is a thing that every child is going to do in that young age they are going to the kindergarden or to a kita and will only be watching tv in the mo0ments when they are at home,2
26,also to hold against the argument that children that watch tv are not interfering with there family anymore the parents could watch the sereies with them and make a game out of it so they will make tv watching a family activity,2
27,also little children learn what is forbidden and what is right but they should watch series which are made for young children with an age of if they look criminal series it is not good for their evolution and they can missundertand what the people are doing,2
28,furthermore the parents have to have an eye on their children if they watch tv,2
29,i disagree with this statement because it is not bad if little child seeing television advertising in this age but they should not watch it so often,2
30,my last reason is that children at the age of  are defintiv to young to look tv because of the risks and the consequences of this media to themselves,3
31,the first reason is that young children at the age  can not understand the main statement from the television because there brain can not translate or understand the film which is shown as a consequence it should not be allowed,3
32,my second reason is that this kids should not grow up with a television because if they look tv at the begin of their lives they could focus their future to look fluently and hours after hours tv and so they would  not focus on there future work lives,3
