,text,cluster
0," should nt be allowed towards young children because it has only bad effects on them
                                              the end



",0
1, with this statment because young children can be easly influence but ,0
2, think that it should be allowed children get influenced in ,0
3, to it this shouldnt affect children in a negative way because thats where the parents have their part to play it is the parents duty to tell a child what it can or should whatch and whats not sensible and ,0
4, it is very important for them another reason why it should not be allowed is that children want these things more and more in this young age they should not think about that because ,0
5, that think why it shouldnt be allowed are for the sakes of the parents young children can be very greedy ,0
6, its a negative influence to the children which should have stopped and if we are able to stop one source of influence than we should to that,0
7," to it
one reason why it should be allowed is that even children aged to to five should be made aware of all the possibilities there are for them by that i mean that just because theyre young they ",0
8, we can allow it for children but ,0
9, that it should not be completly forbidden but maybe it should be used less and not that directly to the children,0
10, of the products and they cant think about ,1
11, that if children watch adverdisement in the tv and they see a product which they are really liking they will have to ask their parents ,1
12, that children dont see the problems of a product ,1
13, that the advertising is not made for the children only it is made for the parents for me ,1
14, that people buy the product but in a way that is ,1
15, that they buy certain products ,1
16, about advertisment to yound kids a lot of kids havent got ,1
17, that there are huge enterprises that have only one goal and this is to sell more of this product because they want to earn money in this age children are ,1
18, that it wouldnt be that way if they get what the add want them to buy many years ago for exemple there was an advertising for a toy for girls ans it was connectet with arielle in the add you could see two girls who were swimming in a sea and they have seen many colourful fish when i was younger i thougt i would ,1
19, that advertising  is a good invention for the concerns but not for the moneybag of the parents and the eduacation of the children ,1
20, the child see something that it want and theen thee parents dont buy it it will be unhappy ,2
21, is that the children if they get most of the toys or something like this which is presented in the advertising they will play with this and forgot to go outside meeting friends or do hobbies and this age is really important for the livingprocess in this age children should learn to communicate with other children and learn to work or play as a team all of that is very important â´for surviving in the modern society so ,2
22," they parents read  a book for his child the donâ´t have contact with televisions and other electric things in this age the donâ´t need in this young age contact with the media of the world it is not importen to do taht in thei age thy wont to have a nice childhood with much time outside and not in the livingroom also the children dont understand what is wright or wrong what the people do in the televison and they do the wrong thinks because the learn it from a show charakter  
but ther are many television shows for young children who thy can learn things for the kindergarden or the school ",2
23,children aged  have to learn very much about live for example about their needs and how they had to react in diffrent situations one of this situation is the television advertising they had to diside whether they resist this advertising or not if not they had to ask their parents whether they could buy them this things and than it is by the parents if their child gets this thing for example the child watches tv his favourit series dragons or somthing and ,2
24," that they could grow up much better and much faster the reason which totally agerees to this is the television program for young kids if it wouldnâ´t makle sense to let kids aged  watch the tv there wouldnâ´t be this television program

on the other ",2
25," they might get shown creative activities modern toys and because of that they can get impressions of how to be creative furthermore they are learning to become carefully and learn about the possible risks if they are discussing this with their parents
the problem which could come up is that children at this age are believing many things they hear and see and dont know about these risks what would become a problem if they dont talk about it with their parents eg 
today its easy to get acces to the intenet and their were already problems internationally known of children buying things or games on the intenet not knowing they cost money

in my opinion it shouldnt be allowed influencing children on porpuse with advertisment beacause of the reason i talked about above and the ",2
26," the children could get influenced in a bad way by advertisng they see in the television

secondly its essential to see that ones childhood plays an important role in the construction of a lifea basis the way you grow up and the particular influences like ",2
27," children learn more in the real world and it is important for children to play a lot an have friends with whom they can have adventures also watching television in asbolutely not necessairy especially not for children aged  they have to learn that the life is not about tv stars and shows but more about friends and living its own life if they are to often confronted with such things they can get aggressive and unsociable 
so my own children will have a fix short time ",2
28, years children learn a lot about themselves and about others they see how this world works and adapt to the casualities in it it can be good to show them the reality ,2
29, that it is important to mention that the children are very young and could get influenced by the television advertising for example ,2
30, for the success of  companies or for someone who offers something on each corner we colud find an advertisment about a product or service the advertisment on television has much influence on the people who watch a film series or an other show there are advertisments about every things and for each age of a person the television  advertising  should be allowed often the young children couldnt buy the thing in the advertisment on his own they dont have enought money or they are ,3
31,in todays society advertising is a big part of television these advertisment target different types of people and interests and as it comes some ,3
