,text,cluster
0, an ad is shown during the break of a serie your child is excited and wants this toy you say no it stars to cry at a ,0
1, once it has ended im ,0
2, have time to watch tv ,0
3, watch tv the whole day on the one ,0
4, time and my even think about it a ,0
5, youre little and this time should be used,0
6, until you have to go to bed ,0
7,saturday evening you are watchin a good movie then the movie is interrupted and you see an ad then another ad appears and you get slowly but ,0
8," a certain time but is this enough
for me ",0
9," gets the toy it is not that much fun as expected

all things considered my opinion ist televison advertising  childeren ",0
10,nowadays advertisments are everywhere and anyone watches tv in the television is ,1
11,there are many advertisements in television ,1
12,so many parts of the todays television is the advertising ,1
13, much advertising in the television programms nowadays ,1
14,when you turn on your television nowadays you more often are confronted with ads that advertise ,1
15,"television advertising 

these days there is a lot of advertising found on television ",1
16,television advertising is something we see a lot ,1
17, of television advertisement is the ,1
18, television advertising gets more and more important but often they can influence people and ,1
19,"television advertising 

advertisements are a big part of our life however we may not even realise ",1
20, think that it should be allowed children get influenced in ,2
21, it is very important for them another reason why it should not be allowed is that children want these things more and more in this young age they should not think about that because ,2
22," should nt be allowed towards young children because it has only bad effects on them
                                              the end



",2
23, we can allow it for children but ,2
24, that it should be forbidden it is unfair trying to raise oneâ´s profit by using the relationship between parent and child than just try to convince the parents with the product itself,2
25, to it this shouldnt affect children in a negative way because thats where the parents have their part to play it is the parents duty to tell a child what it can or should whatch and whats not sensible and ,2
26, very young children should be forbidden because it influences the children in a bad way it causes many ,2
27, should not be allowed for young children or only in some short times because it could make stupid and gives them a wrong picture from the world i ,2
28, i would support the statement that it shouldnt be allowed because children in age five could cause some problems ,2
29, that think why it shouldnt be allowed are for the sakes of the parents young children can be very greedy ,2
30,in our modern society we often watch television especialy kids like watching it ,3
31,television plays a big role in the life of many people even younger ones many children around the age of  already watch tv the problem with that is the ,3
32,nowadays television plays a big role in everyones life young and old the main thing we all encounter ,3
33,"it sais that televison adversising direct toword young children
to begin television has a big place in our society nearly everyone is wathing tv nowedays because of the big number of tvshows beside the tvshows witch are just for fun or to relaxe at the end of the day ther are ",3
34," children are looking to the television all the time and how they change because of it

for children it is very important to learn new things all the time television isnt just useless children can learn from it a lot there are some series for children which are quite well they can learn about nature and how life works televison is for children quite important because like this they can learn something in a different way

although children can learn from television to much is not that good it is important that children dont just learn by the television the parents have to go out with them and show them the nature and how they have to behave children learn the best ",3
35,nowadays children often watch television ,3
36, the children can learn from television it ,3
37, the family and friends learn together with the children i donâ´t know good things what a television is doing to humans the television make it young children hard to live in the real world ,3
38,television is very popular in our generation and in every house you find one or more for many families its a possibility to give their children something to do but children cant learn to do something alone und ,3
39,nowadays many young children already watch tv because of that they ,3
40,television advertising s young children should not be allowed because they want the things shown in the advertisement they will cry and shout intil they get the things but ,4
41,television advertising for young children should not be allowed because the young children dont really have the ability to understand and to think about the things that the ad communicates the children just thinkoh ,4
42, television advertising is a normal part of our ilves and even their lives and it should be allowed even for younger children,4
43,television advertising s young children should be forbidden because it influences them in the wrong way they are getting animated to ask their parents for games or clothes they do not need further they are able to manipulate their parents into getting what they want the parents are almost forced to buy the desired things because ,4
44, televisions advertising should be allowed because children should have their own tv programmes if they havent got own tv series they watch series for adults ,4
45, television advertising toward young children should not be allowed because young children are too easiely influenced they get the wrong idea of happyness and beauty and can not accept themself ,4
46,"television advertising  should not be allowed

first of all its clear that television advertising isnt the best influence for young children with exiting colourful and loud advertising for toys clothes or food a childs attention is easily catched they now have the impression that they only want this one thing in the advertising and beacuse children are ",4
47,"television advertising  should  not be allowed

young children basically grow up with a television in their household nowadays there special tv channels that show a suitable programm for young chidren ",4
48," it is right that television advertising yound young children should not be allowed beacuase the influence of the television is bigger than we think the children do what they see on television they can not think what is real and what is just fantasy 
on the other ",4
49, it should be allowed that children aged  watch advertising in tv but there are reasons for ,4
50," that advertisement aimed at young children should be allowed it wont ruin the childs live and its the parents duty to make sure the child is prepared to face advertisement in the future 

and just because its an interresting ",5
51," advertising for children should be allowed in a helping way they should show the real world and not the fictive worlds because it is very difficult for the young children to differ 
but ",5
52, i come to the conclusion that advertisment directet to children should not be allowed because it takes away their chance to develop their own individual charcter ,5
53," a lot of advertising  children aged 
now we have to ask us if this should be allowed or not

if kids see advertising for children they could not know that advertising is often just for making money for the companies and often what they promise in the adverstising is unreal so they get a wrong view 
also ",5
54, it should not be allowed to direct advertising toward young children because they do not have any money and can anyway not buy anything it is very easy to manipulate young children that they want to buy everything they see childrens brain isnt enough developed ,5
55, of view advertisings that are directed to children should be allowed  the main reason why i am cleary against not allowing it is that it is in every parents ,5
56, advertisement toward young children should not be allowed because the children get influenced too much because they do not understand ,5
57, it should not be allowed to advertise toward young children because they are too young to really understand what it is if they see something on television when they see another child enjoying something they want to have it too it is ,5
58, we should not forbid advertisements for young children because it does not make problems because the children have no  money and it even helps them to see the possibilities in stores and to think about their real wishes and like explained at the end the question has no sense becauese nothing wwill ch,5
59,"should it be allowed to make directed advertising for young children in the age of 

for the ",5
60, not able to buy it alone so the televison advertising for the young children are more directed to the parents of them and they can decide if they want to buy the thing in the advertisment or not the people dont need this sort of advertising because young people dont watch that much television children  see an advertisment on television about a toy and ,6
61, children are easily influenced and get overly excited very quickly so for companies that produce let us say toys it is a good idea to broadcast advertisements on television channels with a young audience ,6
62," its  them the young children can only understand everything through their vision
when parents see the advertising which often is about some kind of toy that every children wants to have they could take that as an idea for a birthday present or something like that which would be an ",6
63," your children always desire the fanciest toy so what to do about it
for the advertisors young children are easy to connect with because they do not have such a complex believe and decision making system as most adults do therfore it is quite compelling for companies to make cheap advertisements with good chance to succed on the other ",6
64, firstly the advertisement influents the opinion of the children they will annoy their parents to buy the toys and the parents dont have another choice and will buy them there arent only good toys that the children can use in the advertisement they ,6
65, is that the young children are the customers of tomorrow and with the advertisemnets they get an overview about the varieties of toys sweets or games in our modern world and if you are realistic they will always have to deal with adevertisement ,6
66," many other companys trying to sell the same product in the end the children are the ones who see in the stores the products they have seen magicly in the tv and because they look nice and their friends have them they want them and beg the parents to buy them but the parents are the ones with the money and not the children so it is clever to let the kids see what is new and what they could buy because if only the parents would see it they  think its just an other dumb ad but if their kid begs them to buy it they are letting themselves easier to buy it because they dont want to be cruel
so it is kind of messed up that the companys are targeting already the very young children which are innocent and dont know that they are being influenced by the ads but from an older age like 5 years  in my oppinnion its okey because from there on the childreen tend to start wanting specific toys and to showcase them in an ad is really cleverso why not trying to get the childern already in an early age to accept ads in their function thaat later maybe they work as planned",6
67," adverts for toys will make the kids want the products really hard and the children will go to their parents and make them buy them the toys or whatever the advert is advertising for
its clear that the products made for children must ",6
68, young children are not able to decide what is real or what is wrong there are lots of toys in the advertising which are presented in a fantastic way ,6
69,firstly it isnt that good for children to see advertisment because if they see a toy or viedo games which doesnt belong to them they probably want this item and if the parent dont  buy it for them they might feel incomplete and got a empty space in their hearts in the psychologic ,6
70," they shouldnt watch tv 

if we say a child cant watch tv it plays with other untechnolized products which arent as dangerous as technology to find out some things a children shouldnt or to see something which can dramalize a young child but television canals mostly have some shows which are made for them and are helpfull to learn about our earth our world and the life which is waiting for the young guys
but a bad ",7
71,nowadays children often watch television ,7
72, the young children whatch to often television ,7
73,many children nowadays are placed in front of a tv and are left there all day long the problem with this is that they dont only see tv programms that they should not they ,7
74,nowdays a lot of young children watch television there are many reasons why they do that ,7
75,nowadays observing young children watching television is nothing astonishing anymore there are a lot of kids who are not older than five years old spending several hours a day and doing noting but staring into television ,7
76,in todays society mostly every familiy watches regular television its not unusual that young children are ,7
77, of the parents children in this age should not wach too much tv,7
78, television is a bad thing for young children if they start early with watching tv they will ,7
79, its not necessairy that kids in this age look tv every evening because they dont want to miss a serie let the kids be kids let them play outside because later they have ,7
80, advertisment shouldnt be shown  that much it would influence them a lot and escpacially ,8
81," arent able to differantiate advertising from the reality because of this they may think someting is healty or useful even its not 
on the other ",8
82,nowdays advertisment seems to be everywhere whether in magazines radio or on television companies are always trying to reach for people as annoying as it sometimes seems it is an important thing ,8
83, think that the advertisments influence relise heavily on the people and not on the the advertisment ,8
84, of view the advertising  is irresponsible and ,8
85,advertisement is something we all know as we are confronted with it everywhere on the streets on your computer on your mobile phone and ,8
86,every day we are confronted with advertising of some sort advertisement has become an indespensible way for companies to make their products visible to potential costomers the aim of advertisements is ,8
87, why its important to prohibit this kind of specialized advertisment even ,8
88," adverts  are not really effective and a loss for the company who set up the adverts

on the other ",8
89, that advertising belongs to the important ones and ,8
90, the children are in such a young age they can be influenced very easily besides that ,9
91, young children has to make their own experiences to learn from them in their future they will have to deal with wrong promises and unfullfilled expactations anyway ,9
92, raising them up properly obviously the children are confronted with lots of information but because of them being ,9
93, its for them and not for the parents or others there are many adventages as disadventages,9
94, the child see something that it want and theen thee parents dont buy it it will be unhappy ,9
95, the parents of the children have to take care what their children see and of what kind of things they should be influenced  ,9
96, because these children are in a rapid and dynamic character development which affects their ,9
97, these children are older they are manipulated in many ways ,9
98, shouldnt give to many influence that the parents are supposed to have out of ,9
99, children can be influenced very easily ,9
100," a lot of advertising  children aged 
now we have to ask us if this should be allowed or not

if kids see advertising for children they could not know that advertising is often just for making money for the companies and often what they promise in the adverstising is unreal so they get a wrong view 
also ",10
101, that young children cant think about the advertising carefully whats tho goal of the advertising they can be easyly manipulated by it at the end their parents have to think about it and decide if they would buy something of the advertising for their children ,10
102, children can get influenced negatively from the advertisement ,10
103," one has to consider that young children are very easy to manipulate with a less experienced and educated mind they are a easy target for advertising and can more easily fall for subjective and incorrect advertisement
also the children who saw those ads can afterwards be ",10
104," children know what it is and what the will from the producers is but children  are maybe to small to get the right message which the advertise produces it can be completely incorrect in understanding ore the children get to know things which the shouldnt parents have no influence which advertise their kids see and which not 

for example a kid wich is two years old sees an advertise which is directed to children who are aged five the smaller kid thinks about the advertise and maybe it was an holiday park were kids under five are not allowed in this case the message is wrong for the two year old kid but it has seen it already this is one example how the children can missunderstood the messages which these advertise produce

in my opinion advertising directed to kids aged  should be not allowed there are to many things in the world which the can explore themselfes they dont need advertises ",10
105," young children cant decide by their own what they need and whats good for them in this context advertising can manipulate young children realy good because they dont have that much expirience to think carefully about the advertising
",10
106,we have to think about that these children that we are talkking about are in a very early period of their lifes children in this age can easily be influenced by their surroundings bad advertising can have bad influence on their ,10
107, with this following statement because i see that the young children are vicitims from elder people who want only power over the children those advertising can influence their mind and how they will think and act later maybe the advertising is furious and scary i ,10
108,"

these advertisements directed  may even be a danger for their parents because the persons who produce these advertisements do not care about the children they care about their parents money so if a child wants something out of an advertisement he starts to beghis mother to buy him ",10
109," young children have to learn how to deal with advertising for example that not everything what is said in advertsings is right or usefull if they dont learn that early they may have problems with it later 
on the other ",10
110, that advertisements arent extremely good for children but they ,11
111, with this following statement because i see that the young children are vicitims from elder people who want only power over the children those advertising can influence their mind and how they will think and act later maybe the advertising is furious and scary i ,11
112, every child wants the thing in the advertisment there are huge parts in industries which are specialisted exactly to manipulate the advertisment and thats not correct at all and in any case the children are most effected of it and the problem here is that the childs parents dont teach the child that this exact thing isnt good yes maybe the parents are the howl problem in this case sometimes the child is ,11
113, that children have to learn that they cant get everything what they see in the advertisingwith adults it works the same way we see something in the advertising and we want to buy it we get influenced by it because the advertising is made for catching us its the same with children they see advertising which is made for them with ,11
114," 
but critical voices say that children get confused by these advertisings made for them they dont understand if the ad is saying the truth or not they cant make this difference after they have seen an advertising they will go to their parents and ask them to buy the shown product if they wont the child will cry until they do it and exactly this mechanism is planned by the company which has shown the advertising and because this is ",11
115," of view
furthermore children influenced by tv ads are going to to try and make their parents buy those certain products which they most likely wont ",11
116, that advertisement  only has a bad influence on them advertisement is never good but for young children it is even worse ,11
117, is really manipulative as children wonâ´t play with friends or study but only watch television and those advertisements children will be keen on having the products represented in the advertisement and complain about not having these products if their parents wonâ´t buy them of course you can say that parents shouldnâ´t allow their children who are that young to watch television ,11
118, that for the most children those advertisings are harmful and i ,11
119, with this statement even if the child really wants the product that was advertised on tv the decisions if its bought or not will be made by the parents the child cant just buy things on its own the role of the parents is another reason why ,11
120, children should generally not watch television in this adge because you cant allways controll what they see and ,12
121, much influenced by electronic devices in my opinion children shouldnt be allowed to watch television every day advertising for children are not just in television the advertisings are every where generally ,12
122,"television adverting  aged  should not be allowed
more and more parents of young children let their children watching tv but other parents and people think that it isnt good to let children use electronics 
when parents of young children have to do housework or have guests its easy to set their kids in front of the tv the kids are happy and the pparents can do other stuff its clear that watching tv not has to be only bad for the kids there are special programs for babys and children on the tv in these programs the children can learn other languages call animals by the name learn objects or probably ",12
123, television advertising  is important for the marketing of these things if parents doesnt want there child to get influenced by television advertising they shouldnt let them watch tv children aged  shouldnt watch television ,12
124," fascinated that they forget the reallife 

however why we should forbid our kids watching television i mean they arent able to contact the companies who are advertising and most of the products they are offering arent even usefull for kids they dont need a dating ",12
125, in nowadays time it is important that you dont just sit in your room and watch tv you have to get outside and see the real world it is more common to just watch tv the hole intheier day exspecially for young childresn aged  i understand if they are fascinated of the tv but as parents you heve to defend your childrens from bad influence and there are a lot of bad tv advertising so i am fully against television advertising toward young childrens because there are bad influences in the tv whitch can understand wrongly and in this age they learn everything what they been told ,12
