,text,cluster
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,"In the following essay I want to point out my opinion towards television advertising addressed to young children.
Almost every household has an televison in the 21st century. Advertising is getting more popular because it is an easy way to influence the society. The impact of advertising is a controversial topic in our community.
Television advertising directed towards young children should not be allowed because children are not able to understand the impact of most of the products. Some of them could be harmful and children would get addicted to things which are not good for their development. On the other side even young children have the same rights than parents. They are all potential buyers in the future and ,well, watching advertisment doesnt imply buying this product. Maybe this specific advertisment helps young children to find out what they are going to wish for their birthday. First of all I have a general question. Are young children aged between 2 and 4 interested in watching television? I donÂ´t think so. On the other hand it is proofed that advertisement influences a buyerÂ´s decision. At an age of 3 children should not be confronted with advertisment because they should better go out and play with their freinds. It is also morally questionable when companies try to benefit from children. If advertisement directed towards young children would be allowed young parents who alredy got a low budget had to explain their children that they are not able to buy this product. This disappointment is not good for a young character.
If this kind of advertisemnt should be allowed we would definately need a law and an nutral institution that controlls this law. How sould it be possible for this institution to decide wheater this product is directed towards children at an age of 5? It is just logical that companies would say that their product is made for people at an age of 6 but it can also be used by younger children.
Overall I thing that television advertisement directed towards young chiildren shouldnÂ´t be allowed becuase of the mentioned facts.",1
11,"Many parents said that television advertising directed toward young children (aged two to five) should not be allowed. There are many reasons which are supporting these statement. It could be helpful for young children if television advertising should not be allowed. In the following, I will explain my point of view.
However, television advertising is an entertainment for everyone, it does not matter which age you are. It is mostly better than sitting around and be bored. But there is also an other important point. Young children could use television advertising to learn something.
There are not only positive arguements, but also negative aspects.
First, television advertising is mostly unhealthy for young children. For example they can get very sick and they cannot get any friends if they are television advertising. But there is also an other arguement which do not support the statement. Children have to make expiriences in the world, and television advertising do not bring any important expiriences. 
At last, television advertising directed toward young children (aged two to five) should not be allowed. The health of young children is too important and television advertising could be like a wall between the children and the society. 
",1
12,"Nowadays almost every familiy owns a TV that can be used by the every member sometimes even by young children. These affect them in different ways depending on what kind of programs are shown on TV. Sometimes even advertisement can affect them. Big companies sometimes produce commercials that are directed toward young children. In this essay i want to explain if television advertising directed toward young children should not be allowed.
One argument against this kind of advertisment is the manipulation that commercials can do. Young kids can not decide maturely so it can be dangerous to them. Another argument against television advertising towards young children is that after seeing such a commercial kids want such products though parents rarely would buy or can't afford it what makes kids very sad.
An argument in favour could be that it teaches kids a lesson because they can't and won't have eveything in life. Another pro argument is that kids could be influenced by commecials with good purpose as for example anti-racism campaigns.
In my opinion television advertising toward young children should be allowed but only if they have a good purpose.",1
13,"A controversal topic nowadays is television advertising. Some people think, that television advertising towards young children should not be allowed. In the following I will comment on that topic. 
Firstly you can say, that these advertisments, towards young chilren, offer the producer a bigger frame of costumers. Often advertisments are directed towards adults or teens, so that they buy certain products, but also if an advertisment does not catch an adults or teens attention, a young child can influence their parents to be interested in that special product, so that they look at it again.
Furthermore especially young children are easy to influence and so they believe everything said in the advertisment. They do not have as many life experience as their older siblings or parents and so they believe especially people, who seem trustful, alot and when it is a good advertisment they can get influenced by it very much.
Young children at the age from two to five should not be allowed to watch television or television advertesments. In the age of two to five they should play outside with friends. They should not sit inside and watch television alot, perhaps in the evenings, the children program, but there are no advertisments in these special shows for young children.Television advertisement can influence their personalities in wanting everything. Young children, who watch much television or television advertisments can get badly influenced by these, because they often tell you, that you should definitly buy the product and so their character can get influenced in wanting everything.
To sum it all up, I would say, that these television advertisments towards young children should not be allowed, in the reason, that it could influience their life in a bad way, and noone wants that for their child.",1
14,"In the following text I will discuss the question, if television advertising directed toward young children should be allowed or not. This is a topic many people disuss and it is not easy to say if it should be allowed or not. There are many points that have to be discussed, to make a decision about it.
One argument to allow the television advertising directed towards young children is that these children feel part of the society, otherwise it could be that children do not feel involved. On the other side it could be kind of manipulation to direct television advertising towards children. There are too young to deside on their own if an advertising or the product in it, is good or not. That could be also an argument for television advertising directed towards children. Maybe they could learn to deside on their own with this advertising. For sure it would be better when parents could help their children in another way to learn how to make decisions. 
Another argument for showing advertising directly to kids is that it could be boring for children when they see advertising for adults only. 
There are more arguments to show advertising to children directly, but the only real good argument is that it could be to boring for children to only watch advertisments for adults. But anyway I will agree to this statement, because IÂ´m sure there are way more better activities for children from two to five than to watch television and the advertisments.",1
