,text,cluster
0,"The children have to learn, that not everinthing is like it looks in the advert.",0
1,"The companies actually manipulate the children because especially the younger ones, aged two to five, can't decide whether it is something they really need or if it was simply shown in an advertisement.",0
2,"Even though they might get the product, advertising is not all about reality and the child might get disappointed.",0
3,The children really want to have the product and might annoy their parents until they buy it.,0
4,"On the other hand children are learning very much in this part of life, so the advertisment gives them the chance to make up their own mind about some products.",0
5,One reason for this is that young children don't have the experience to see if a product of their favour is useful or useless for them.,0
6,If those young children see advertising for the necessary or the right stuff it might be usefull that they watch this advertising.,0
7,"First off all it seems to manipulate the young children, because the things named in the advertisings are used to atract these young children.This works because they donÂ´t even think about the price and if they really need these things.",0
8,"For sure, children are manipulated by exciting advertisements and are used to make their parents buy these products, but if parents are upset with that, they shouldn't allow their child to be manipulated.",0
9,One stong arguement againt advertising towards young children is that they don't realise this manipulation.,0
10,All in all I would say that I donÂ´t agree with the statement that television advertising directed toward young children should not be allowed because I think that there is nothing to worry about if  little children come in contact with television advertisements.,1
11,"I agree with the following statement ""Television advertising directed toward young children (aged two to five) should not be allowed"".",1
12,"There are different oppinions to the statement ""Television advertising directed toward young children (aged two or five)should not be allowed.""",1
13,"On the one hand, television advertising directed toward young children should not be allowed because it's unhealthy for them to whatch television too often since that could cause that they don't move enough.",1
14,"So in my opinion television advertising directed toward young children in the age of two to five should not be allowed, because in this age children started making their first social contacts, which is very impotant for their growing up.",1
15,"Therefore, I completely agree with the statement ""Television advertising directed toward young children should not be allowed"", because forbidding this kind of advertising could reduce many problems in families.",1
16,"So I think that television advertising toward young children should be not allowed, because they are too young and can be manipulate.",1
17,"A argument on the statement ""Television advertising directed toward young children (aged two to five) should not be allowed"".",1
18,I'm agree with the following statement that television advertising directed toward young children in the age between two to five should not be allowed.,1
19,"In the following I tell you my oppinion of the question, if Television advertising directed toward young children between two to five years shuold not be allowed.",1
20,An other negative point is that the childrens aren't abled to judge things regarding their quality or the need of it.,2
21,"There are some good points, but also many bad ones for the children.",2
22,"Children will know, that they can't have everything they want and that not everything is like it is in TV.",2
23,The most important one is that the kids can be manipulated into buying things they see.,2
24,"But as always there are some disadvantages and some advantages, for the children, their parents and those buisneses.",2
25,"So, firstly the positive thing is that the children can learn something about the world very early and they do not need to talk to their parents or read a book but thats really sad, for me.",2
26,Forthermore the childrens often dont need the object.,2
27,The only problem which occures is that if the parents don't theach their children they might get too much manipulated and materialistic.,2
28,One reason for this is that young children don't have the experience to see if a product of their favour is useful or useless for them.,2
29,It is the best way to prepare kids for the future.,2
30,Television or any other media stuff is a big factor and influence in our world for all people.,3
31,Television is in our time an important source for news for adults or teenagers.,3
32,This could  be the reason why we create televion advertising.,3
33,The children would grow up with wrong information before they could understand the truth of the television and its consequences on their.,3
34,My last reason is that children at the age of two to five are defintiv to young to look tv because of the risks and the consequences of this media to themselves.,3
35,So that Television is an important source for young children for preparing their future life.,3
36,On the other side it could be an advantage for the children to wtach TV even at a so young age.,3
37,Especially young children are getting easily influenced by television.,3
38,Otherwise young children can learn many things just with watching TV.,3
39,Television is today more impportant than in the past.,3
40,"First, television is not good for young children, and many of these young children aren`t even allowed to watch TV.",4
41,"However the television can be nessecary, because some kids have an evening routine in which they watch one serie of their favourite movie 
and afterwards they go better to sleep.",4
42,On the other side it could be an advantage for the children to wtach TV even at a so young age.,4
43,Television is a too important factor of the life of a young children.,4
44,Otherwise young children can learn many things just with watching TV.,4
45,Many children spend too much time on watching TV.,4
46,My second reason is that this kids should not grow up with a television because if they look tv at the begin of their lives they could focus their future to look fluently and hours after hours tv and so they would  not focus on there future work lives.,4
47,"Young children are very influenced by everything,which they see and hear, so the television can be dangerous or bad for them, but it can be allowed to cut them from the medias, but itÂ´s not the right way, I think.",4
48,First of all you have to say that the television has a big influence not just on young children but on everyone of us.,4
49,"All in one I think it`s okay, that children watch tv in a small part of time, if they don`t forget to do important things for school and playing outside with their friends.",4
50,Not too much advertising!,5
51,The children get irritated and don't know how to react.,6
52,"On the other hand, if the parents take care of them and pay attention, the children will not get any problems, but they will have fun with their new toy or other things.",6
53,But if the parents stay cool and maybe ignore the children while they are crying they will soon stop doing it.,6
54,"That is a problem because parents do not want unhappy childreen and then they have to say to their child, he would not get the toy.",6
55,"And if they parents don't look up details about that item and just trust their child because it makes it happy, the child might end up with a broken toy, which will make them even more sad.",6
56,"If the kids throw a tantrum, they'll get over it sooner or later.",6
57,"Often, the parent would give in on their child, which is not going to give up on that toy.",6
58,"Children want to have the toy and will be mad about their parents, if they do not get the product.",6
59,Children are easy to manipulate and if they want something really bad they often get it because their parents can not stand their cute child.,6
60,"If they don't get the object, they start to cry or they are sad about the desission of their parents.",6
61,But there are also some reasons for advertisements towars young children.,7
62,I think children maybe donÂ´t want advertising that is directed toward them.,7
63,"On one hand itÂ´s not good to direct the advertising toward young children, because the children in the age of two to five canÂ´t say anything about there own opinion, because they are to young to say it.",7
64,Advertising addressed to young children can create both a passion for life and a bad habit negatively incluencing one's life.,7
65,"Furthermore young children believe what they hear or what they see, so the advertisment could have negative effets on the children.",7
66,"So all in all I would say, advertisements for young children are a good thing to get them learn to hear a 'no' and to let their skills grow.",7
67,"Advertisement for children does not have to be a bad thing, it can be used to influence them so that their behaviour will have a positive effekt on society and nature.",7
68,"I can understand that companies direct their advertising towards young children, because in that age, children can be manipulated very easily, and while adults and other children are better able to decide wether they actually need the advertised product, they only care about the great video and not about what the product actually is.",7
69,On the one hand young children have to learn how to deal with advertising.,7
70,"On the one side it should be allowed to show such as these advertisments, because the children are more informed, what is in trend and can compare with other children.",7
71,In addition to that I can say that advertisements are rarely showing the truth.,8
72,But advertisement also creates a wrong image of reality.,8
73,As a consequence they need to agree with the advertising or at least to believe it is true.,8
74,"The ads are making everything more colorful and brighter, and they do not necessarily show reality.",8
75,"On the other side, advertisings are made to interest people and to make them buy the things shown in the television.",8
76,As an adolscent you know how to deal with adverts and that their content isn't always the truth.,8
77,"The things shown in the commercials aren't reality, but it is the reality that commercials are out there in real life.",8
78,I would understand if someone says that there is no differance between advertation and manipulation.,8
79,Another point ist that there is not just advertisment on television but also in the shops or by games on smartphones.,8
80,But the opposite of that argument is also an argument fot these ads if you see it from the perspective of the companies who then gain money.,8
81,All in all I donÂ´t really agree or disagree with the statement.,9
82,In my opionion there are two sides to this statement.,9
83,In my opinion i agree with this statement because off some understandabel reasons and examples.,9
84,"But on the other hand, there are some reasons why I disagree with this statement.",9
85,Finally I agree with the statement.,9
86,All together i would agree with this statement.,9
87,For this reason I disagree with the statement.,9
88,"So all in all, I agree at some parts with the statement, but not at all.",9
89,In the following I will discuss this statement.,9
