,ios,file name,argument
0,0,1162_aID1AD.txt," that it would be difficult to stop televison advertising which is  in the ages 
televison advertising could be helpful especialy for parents if they donâ´t have an idea concerning to give a present to their child 
but "
1,1,1162_aID1AD.txt, watching telivison advertising in these ages can lead to the missing ability to appreciate things which are advertised in the tv 
2,2,1162_aID1AD.txt, toys or electronic devises to play with if they always want more toys the parents maybe will follow their wishes to make their children happy and make these wishes come true which can lead to the missing abilities mentioned 
3,3,1162_aID1AD.txt," wouldnâ´t know the value of these things
my opinion to this topic is that televsion  advertising directed  should be stopped furthermore the parents have to have an eye on their children if they watch tv watching tv in these ages can "
4,4,1162_aID1AD.txt, be discussed whether itâ´s good for them
5,5,1164_aID1AD.txt,nowadays advertisments are everywhere and anyone watches tv in the television is 
6,6,1164_aID1AD.txt," and even small children watch television so it may occure the question whether tv advertising  aged  shoud or should not be allowed 

first you should allow this kind of avertising because it helps the parents to buy things which fit with the specific wishes of their children so the little child can watch tv and "
7,7,1164_aID1AD.txt, the adverts it says that it likes to have this and that therefor the child doesnt have to speak well its enough to say i want that and it 
8,8,1164_aID1AD.txt," on the advert then the parents can simply buy the object 
next this kind of advertising helps the companies to improve their sales and adress the specific group of people which the products are made for so they would do babytoyadvertisments only for young children aged 

on the other "
9,9,1164_aID1AD.txt, this adverts shouldnt be allowe because these young children cant do anything with this adverts the children get irritated and dont know how to react as an adolscent you know how to deal with adverts and that their content isnt always the truth but children 
10,10,1164_aID1AD.txt," young children dont know 
more important theses adverts influence the childrens mind and their psychological development thats not good children may believe whats said in the advert plus the strategy of advertisment is to create needs and children cant deal with that 

all in all adverts for children aged  shouldnt be allowed because of their negative effects on the children they create wrong needs and slow down the psychological development they only help companies to improve their profits and this is not good we shou"
11,11,1165_aID1AD.txt," inform you about television advertising
i am "
12,12,1165_aID1AD.txt," with this statement because the televison advertising have many negatives effects
the "
13,13,1165_aID1AD.txt," one is that the children often want the object in the televion they think that is cool and they often try to convince their parents if they dont get the object they start to cry or they are sad about the desission of their parents the parents dont like to see their children cry and they bought the object for them
forthermore the childrens often dont need the object the seller push their object in the advertising because he know what he have to say he only tells the posi and the children see that and in result they get it from their parents
in addition the parents should explain theire children how they have to handel with advertising the children musst learn the trics of the televison advertisings because they should be responsible with the money if they dont learn this they could have problems in their life 
all in all the advertising isnt good for the young people it stress the parents and it could destroy the entership between the family and friends 
"
14,14,1166_aID1AD.txt,"television advertising  should not be allowed thats the way many people think about the influnce of media like televison on young childreni dont think it should be not allowed but i am not the opinion that its positive for them

 every parent should decide if he lets his child watching things  which can be dangerous for the development of his own child not everybody sees that as negativ because a lot of people doesnt believe that children "
