ID,text,cluster,Gold standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"If christmas is coming closer, the weather is getting colder and the nights are getting longer the televison is full with advertisings.",0,17,,,,,,,,clusters \ Reference,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,
1,Until this it seems to be fairly normal but what what follows is truly malicious; The whole time the spot was set in motion there has been some kind of ultra-high frequency tone which was not hearable for the human ear but unfortunately it affected our brain and made us want to purchase that product.,0,2,,,,,,,,C0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
2,"Reproduction has been essential for the survival of every living being and by adapting and adding this special stage of our life to the laws of economic we not only create a bigger benefit for the market as whole but we also support families and toddlers where there is a need for knowledge or help, for example if the kid suffers from minor medical issues and the parents are not capable of finding a solution.",0,2,,,,,,,,C1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,
3,"If they are being exposed to television advertising, critics say, their personalities can't develop as well as if they weren't, because advertisements are always very persuasive and try to change people's opinions, which is not something a young person should experience.",1,15,,,,,,,,C2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,"I think that these commercials should be forbidden to save the teenagers from being annoyed by these advertisments because seriously, these advertisements are pretty annoying for example Hotweels commercials: The guy who speaks it does not really speak - he shouts his text, so that the children think that it have to be good and that they need it to be happy.",1,10,,,,,,,,C3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,So all in all I thing that it sould be allowwed to creat advertises especelly for young children but the childen should be more informed about advertises because only this halps againat the problems that comes with it.,1,15,,,,,,,,C4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
6,I will talk about the question if television advertising directed toward young children should not be allowed.,2,0,,,,,,,,C5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
7,"In my opinion, the television advertising directed toward young children shoud be allowed.",2,0,,,,,,,,C6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,"Im my opinion, television advertising directed toward young children should be allowed.",2,0,,,,,,,,C7,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,
9,Sie haben dafÃ¼r 30 Minuts Zeit.,3,0,,,,,,,,C8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,
10,Sie haben dafÃ¼r 30 Minuten Zeit.,3,0,,,,,,,,C9,0,2,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,
11,Sie haben dafÃ¼r 30 Minuten Zeit.,3,0,,,,,,,,C10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,
12,"Or when the weather is very bad they canÂ´t go outside to play with their friends, so itÂ´s sometimes better to watch with the family a movie when their are at home, that has the effect that the children are not bored and it strenght the relationship of the family.",4,2,,,,,,,,C11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,"They are sitting in front of the display, often alone, and learn something about friendship, instead of going outside, and actually make friends.",4,2,,,,,,,,C12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,
14,It is possible when their older that all activities are watching TV or playing games and chilling at home because they donÂ´t know what means playing outside with friends or going to swim.,4,18,,,,,,,,C13,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,
15,On the other hand you should ask the question why children at the age of two or even five years are watching advertising on television.,5,0,,,,,,,,C14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
16,"First of all I`m not sure, if children, aged two to five, are even interested in television commercials.",5,9,,,,,,,,C15,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
17,"When young children, at a age of two to five, are advertised to televison, it is very bad for the proceeding of growth.",5,9,,,,,,,,C16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
18,At some points it would get really boring and the kids don`t learn how to interract whit other humans and maybe later if their are older they are not good with social relations.,6,3,,,,,,,,C17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,
19,Maybe it is possible to find an compromise between watching TV in this age and getting advertised by the real life with real feelings and real situation where thy can learn from others how to react right.,6,3,,,,,,,,c18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
20,But sooner or later they will be in contact with all those kind of things so why should they not learn it as long as they have a parent or an adult they listen to.,6,1,,,,,,,,Total,10,3,6,6,0,0,0,1,3,5,5,0,5,1,3,5,1,3,1,total =57
21,"Problems like constant crying because of parents not buying their child the toys or things they want, or rather, they saw on TV , might also occur.",7,12,,,,,,,,Accuracy,(25)/57 = 58%,,,,,,,,,,,,,,,,,,,
22,Furthermore could the other kids begin to bully a kid who has not got the best toy like they said in the advertise.,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
